,YELP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.78,18.12,Valuation,3.1335540838852096
Price/Sales (TTM),1.78,4.52,Valuation,0.39380530973451333
Price/Book (MRQ),2.98,5.02,Valuation,0.5936254980079682
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.9125,0.6097,Profitability,1.4966376906675414
Operating Profit Margin (TTM),0.0385,0.24480000000000002,Profitability,0.15727124183006536
Net Profit Margin (TTM),0.034,0.1981,Profitability,0.1716304896516911
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.14,-0.2712,Gowth rates,-0.5162241887905605
EPS Growth (TTM),0.059699999999999996,-0.0227,Gowth rates,-2.6299559471365637
Revenue Growth (MRQ),0.0335,0.7634000000000001,Gowth rates,0.04388263033796175
Revenue Growth (TTM),0.16760000000000003,1.7572999999999999,Gowth rates,0.09537358447618507
Return On Equity (TTM),0.053099999999999994,0.2407,Effectiveness,0.2206065641877856
Return On Assets (TTM),0.0373,0.16899999999999998,Effectiveness,0.22071005917159767
Return On Investment (TTM),0.044800000000000006,0.20510000000000003,Effectiveness,0.21843003412969283
Revenue Per Employee (TTM),263137.0,1707732.0,Effectiveness,0.15408565278392627
Total Debt/Total Capital (MRQ),0.0,0.0821,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),,29.8,Financial strength,
