,UTHR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.24,471.78,Valuation,0.03866208826147781
Price/Sales (TTM),6.57,45.03,Valuation,0.1459027315123251
Price/Book (MRQ),2.68,12.61,Valuation,0.2125297383029342
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9315000000000001,0.5874,Profitability,1.5858018386108275
Operating Profit Margin (TTM),0.5227,-4.7459,Profitability,-0.11013717103183802
Net Profit Margin (TTM),0.3803,-4.5467,Profitability,-0.083643081795588
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),1.0375,-0.0014000000000000002,Gowth rates,-741.0714285714286
EPS Growth (TTM),0.4901,0.027200000000000002,Gowth rates,18.018382352941174
Revenue Growth (MRQ),0.1052,1.3963999999999999,Gowth rates,0.07533657977656832
Revenue Growth (TTM),0.12369999999999999,0.9747,Gowth rates,0.1269108443623679
Return On Equity (TTM),0.1686,0.1967,Effectiveness,0.8571428571428571
Return On Assets (TTM),0.1306,0.0016,Effectiveness,81.62499999999999
Return On Investment (TTM),0.1388,0.0219,Effectiveness,6.337899543378996
Revenue Per Employee (TTM),1927461.0,1476201.0,Effectiveness,1.3056900787900834
Total Debt/Total Capital (MRQ),0.1492,0.4675,Financial strength,0.319144385026738
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0036,Financial strength,-0.36111111111111116
Quick Ratio (MRQ),9.39,2.06,Financial strength,4.558252427184466
Interest Coverage (MRQ),71.43,2.69,Financial strength,26.553903345724912
