,UTHR
% Below High,0.0045000000000000005
% Held by Institutions,0.9917
52-Wk Range,['158.38 - 271.92']
Annual Dividend $,
Annual Dividend %,
Ask,270.7
Ask Size,1800.0
B/A Ratio,0.1111111111111111
B/A Size,200x1800
Beta,0.6
Bid,270.48
Bid Size,200.0
Closing Price,270.69
Day Change $,2.62
Day Change %,0.0098
Day High,271.88
Day Low,267.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.7
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,12.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.24
Prev Close,268.07
Short Interest,0.0316
Today's Open,267.41
Volume,297190.0
Volume 10-day Avg,295201.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.05162523900573612
Growth 2yr High Est,0.32400430570505945
Growth 2yr Consensus Est,0.18781477235539779
Growth 5yr Low Est,0.05162523900573612
Growth 5yr High Est,0.32400430570505945
Growth 5yr Consensus Est,0.18781477235539779
Growth 5yr Actual/Est,-1.282498461622087
Growth 3yr Historic,-1.489175362392406
Price/Earnings (TTM),18.23962
Price/Sales (TTM),6.56872
Price/Book (MRQ),2.67724
Price/Cash Flow (TTM),16.11636
5yr Low,74.31
5yr High,271.92
5yr Avg Return,0.18816666666666668
EPS Growth 5yr,-0.0798498
Revenue Growth 5yr,0.0106178
Dividend Growth 5yr,
Short Int Current Month,1413520.0
Short Int Prev Month,1324067.0
Short Int Pct of Float,0.0315792
Days to Cover,2.54314
Float,44.75935
Shares Outstanding,45.57695
Institutions Holding Shares,633.0
FCF Growth 5yr,0.15667546988301698
"Price/Earnings (TTM, GAAP)",18.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9315000000000001
Operating Profit Margin (TTM),0.5227
Net Profit Margin (TTM),0.3803
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0375
EPS Growth (TTM),0.4901
Revenue Growth (MRQ),0.1052
Revenue Growth (TTM),0.12369999999999999
Return On Equity (TTM),0.1686
Return On Assets (TTM),0.1306
Return On Investment (TTM),0.1388
Revenue Per Employee (TTM),1927461.0
Total Debt/Total Capital (MRQ),0.1492
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),9.39
Interest Coverage (MRQ),71.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2021-08-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
