,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.9,14.84,20.11,33.04,36.38,,,,,
low,12.1,5.49,3.95,14.73,19.35,,,,,
change,-0.15080000000000002,-0.37320000000000003,1.173,0.2432,0.0808,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,113.0,69.0,49.0,212.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,97.0,106.0,133.0,164.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,96.0,106.0,133.0,164.0,Balance Sheet
Other Receivables,,,,,,33.0,22.0,32.0,32.0,Balance Sheet
"Total Receivables, Net",,,,,,130.0,128.0,165.0,196.0,Balance Sheet
Invent. - Finished Goods,,,,,,52.0,39.0,45.0,56.0,Balance Sheet
Invent. - Work In Progress,,,,,,44.0,59.0,62.0,56.0,Balance Sheet
Invent. - Raw Materials,,,,,,39.0,53.0,49.0,30.0,Balance Sheet
Total Inventory,,,,,,135.0,151.0,156.0,142.0,Balance Sheet
Prepaid Expenses,,,,,,12.0,9.0,7.0,7.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,10.0,9.0,9.0,17.0,Balance Sheet
Total Current Assets,,,,,,399.0,365.0,386.0,574.0,Balance Sheet
Buildings,,,,,,84.0,,,,Balance Sheet
Land/Improvements,,,,,,86.0,,,,Balance Sheet
Machinery/Equipment,,,,,,330.0,,,,Balance Sheet
Construction in Progress,,,,,,421.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,6.0,984.0,1051.0,1131.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,927.0,984.0,1051.0,1131.0,Balance Sheet
Accumulated Depreciation,,,,,,-243.0,-246.0,-248.0,-248.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,684.0,744.0,809.0,887.0,Balance Sheet
Intangibles - Net,,,,,,2.0,1.0,1.0,2.0,Balance Sheet
Long Term Investments,,,,,,27.0,33.0,421.0,434.0,Balance Sheet
Note Rcvble - Long Term,,,,,,73.0,84.0,91.0,97.0,Balance Sheet
Other Long Term Assets,,,,,,16.0,16.0,12.0,14.0,Balance Sheet
Total Assets,,,,,,1203.0,1243.0,1721.0,2007.0,Balance Sheet
Accounts Payable,,,,,,65.0,62.0,83.0,72.0,Balance Sheet
Accrued Expenses,,,,,,59.0,51.0,42.0,59.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,14.0,14.0,Balance Sheet
Customer Advances,,,,,,,1.0,4.0,7.0,Balance Sheet
Income Taxes Payable,,,,,,3.0,3.0,2.0,7.0,Balance Sheet
Other Current Liabilities,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,7.0,7.0,10.0,19.0,Balance Sheet
Total Current Liabilities,,,,,,131.0,120.0,149.0,163.0,Balance Sheet
Total Long Term Debt,,,,,,240.0,241.0,241.0,242.0,Balance Sheet
Total Debt,,,,,,240.0,241.0,255.0,255.0,Balance Sheet
Deferred Income Tax,,,,,,13.0,8.0,25.0,24.0,Balance Sheet
Reserves,,,,,,7.0,8.0,8.0,8.0,Balance Sheet
Other LT Liabilities,,,,,,15.0,17.0,19.0,217.0,Balance Sheet
"Other Liabilities, Total",,,,,,23.0,25.0,26.0,225.0,Balance Sheet
Total Liabilities,,,,,,407.0,394.0,441.0,653.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,778.0,779.0,1155.0,1158.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,61.0,114.0,174.0,252.0,Balance Sheet
Treasury Stock - Common,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,,-43.0,-44.0,-48.0,-54.0,Balance Sheet
Total Equity,,,,,,795.0,849.0,1280.0,1355.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1203.0,1243.0,1721.0,2007.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,162.0,162.0,179.0,179.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,122900.0,143500.0,218700.0,231600.0,Income Statement
"Cost of Revenue, Total",,,,,,85500.0,82800.0,115500.0,111600.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,54800.0,11800.0,13800.0,15000.0,Income Statement
Research & Development,,,,,,800.0,900.0,800.0,900.0,Income Statement
Restructuring Charge,,,,,,1000.0,500.0,0.0,100.0,Income Statement
Other Unusual Expnse (In),,,,,,-38000.0,1400.0,3900.0,1400.0,Income Statement
Unusual Expense (Income),,,,,,-37000.0,1900.0,3900.0,1500.0,Income Statement
Total Operating Expense,,,,,,104100.0,97400.0,134000.0,129000.0,Income Statement
Total Operating Income,,,,,,18800.0,46100.0,84700.0,102600.0,Income Statement
"Inter Expse, Non-Operating",,,,,,-14600.0,-400.0,-7600.0,-4000.0,Income Statement
"Inter Capital, Non-Operat",,,,,,14600.0,400.0,7600.0,4000.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,0.0,0.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-1800.0,-2200.0,-2700.0,-3500.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,,,0.0,Income Statement
"Other, Net",,,,,,,14000.0,8200.0,0.0,Income Statement
Income Before Tax,,,,,,17000.0,57900.0,90200.0,99100.0,Income Statement
Income Tax - Total,,,,,,9500.0,4700.0,30200.0,21500.0,Income Statement
Income After Tax,,,,,,7500.0,53200.0,60000.0,77600.0,Income Statement
Net Inc Before Extra Items,,,,,,7500.0,53200.0,60000.0,77600.0,Income Statement
Total Net Income,,,,,,7500.0,53200.0,60000.0,77600.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,7500.0,53200.0,60000.0,77600.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,7500.0,53200.0,60000.0,77600.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,161900.0,161700.0,166600.0,179300.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.05,0.33,0.36,0.43,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.05,0.33,0.36,0.43,Income Statement
Diluted Weighted Average Shares,,,,,,280300.0,191400.0,196500.0,209400.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.03,0.28,0.31,0.37,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.03,0.28,0.31,0.37,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,0.0,0.0,0.0,0.0,Income Statement
"Interest Capitalized, Suppl",,,,,,-14600.0,-400.0,-7600.0,-4000.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,6400.0,6400.0,6400.0,6600.0,Income Statement
Total Special Items,,,,,,-37000.0,3500.0,5800.0,-900.0,Income Statement
Normalzd Income Before Tax,,,,,,-20000.0,61400.0,96000.0,98200.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,-12950.0,284.0,1942.0,-195.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-3450.0,4984.0,32142.0,21305.0,Income Statement
Normalized Income After Tax,,,,,,-16550.0,56416.0,63858.0,76895.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-16550.0,56416.0,63858.0,76895.0,Income Statement
Basic Normalized EPS,,,,,,-0.1,0.35,0.38,0.43,Income Statement
Diluted Normalized EPS,,,,,,-0.06,0.29,0.32,0.37,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,600.0,53200.0,113200.0,190800.0,Cash Flow
Depreciation/Depletion,,,,,,25100.0,6400.0,12800.0,19400.0,Cash Flow
Deferred Taxes,,,,,,12500.0,800.0,12500.0,11300.0,Cash Flow
Unusual Items,,,,,,-1000.0,800.0,3900.0,4600.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,5500.0,2200.0,4900.0,8400.0,Cash Flow
Other Non-Cash Items,,,,,,6200.0,-12400.0,-18800.0,-16800.0,Cash Flow
Non-Cash Items,,,,,,10700.0,-9400.0,-10000.0,-3800.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,4100.0,2400.0,24400.0,35800.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,13300.0,5500.0,6100.0,12100.0,Cash Flow
Accounts Receivable,,,,,,-19000.0,-9300.0,-40700.0,-76700.0,Cash Flow
Inventories,,,,,,-28200.0,-16500.0,-25100.0,-14400.0,Cash Flow
Prepaid Expenses,,,,,,-3700.0,5100.0,-7900.0,-25200.0,Cash Flow
Accounts Payable,,,,,,20900.0,-3200.0,19500.0,11100.0,Cash Flow
Accrued Expenses,,,,,,3100.0,-16900.0,-12800.0,13500.0,Cash Flow
Changes in Working Capital,,,,,,-22500.0,-40200.0,-67300.0,110500.0,Cash Flow
Total Cash from Operations,,,,,,26400.0,10800.0,61200.0,328200.0,Cash Flow
Capital Expenditures,,,,,,-131900.0,-68700.0,-136600.0,-228300.0,Cash Flow
Purchase of Investments,,,,,,-9400.0,-700.0,-8700.0,-17800.0,Cash Flow
Other Investing Cash Flow,,,,,,-2000.0,14000.0,21200.0,20400.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-11400.0,13300.0,12500.0,2600.0,Cash Flow
Total Cash from Investing,,,,,,-143300.0,-55400.0,-124100.0,-225700.0,Cash Flow
Financing Cash Flow Items,,,,,,252100.0,,-100.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,1500.0,100.0,300.0,1200.0,Cash Flow
Long Term Debt Issued,,,,,,39500.0,0.0,0.0,13000.0,Cash Flow
Long Term Debt Reduction,,,,,,-75100.0,0.0,0.0,-13000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-35600.0,0.0,0.0,-2200.0,Cash Flow
Total Cash From Financing,,,,,,218000.0,100.0,200.0,-1000.0,Cash Flow
Foreign Exchange Effects,,,,,,300.0,,-1300.0,-2900.0,Cash Flow
Net Change in Cash,,,,,,101400.0,-44500.0,-64000.0,98600.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,11600.0,113000.0,113000.0,113000.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,113000.0,68500.0,49000.0,211600.0,Cash Flow
"Depreciation, Supplemental",,,,,,25100.0,6400.0,12800.0,19400.0,Cash Flow
Free Cash Flow,,,,,,-105500.0,-57900.0,-75400.0,99900.0,
FCF Growth,,,,,,,-0.45118483412322274,0.30224525043177897,-2.3249336870026527,
