,LTHM
% Above Low,0.39020000000000005
% Held by Institutions,0.9274
52-Wk Range,['19.35 - 36.38']
Annual Dividend $,
Annual Dividend %,
Ask,26.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,26.51
Bid Size,100.0
Change Since Close,-0.31| |(-1.15%)
Closing Price,26.9
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.736
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,26.59
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",27.43
Prev Close,26.9
Short Interest,0.1155
Today's Open,
Volume,1215.0
Volume 10-day Avg,3594370.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-22.666666666666668
Growth 1yr High Est,8.0
Growth 1yr Consensus Est,-7.333333333333334
Growth 2yr Low Est,-11.256410256410257
Growth 2yr High Est,4.138888888888889
Growth 2yr Consensus Est,-3.558760683760684
Growth 5yr Low Est,-5.915705128205128
Growth 5yr High Est,1.9281400966183575
Growth 5yr Consensus Est,-1.9937825157933853
Growth 5yr Actual/Est,0.3220496894409939
Growth 3yr Historic,-1.4297619047619046
Price/Earnings (TTM),27.43135
Price/Sales (TTM),6.73246
Price/Book (MRQ),3.56205
Price/Cash Flow (TTM),21.53125
5yr Low,3.95
5yr High,36.38
5yr Avg Return,0.1946
EPS Growth 5yr,-0.6027108
Revenue Growth 5yr,0.09743510000000001
Dividend Growth 5yr,
Short Int Current Month,20574601.0
Short Int Prev Month,21856059.0
Short Int Pct of Float,0.1154886
Days to Cover,5.32195
Float,178.1617
Shares Outstanding,179.3737
Institutions Holding Shares,581.0
FCF Growth 5yr,-0.8246244235646989
"Price/Earnings (TTM, GAAP)",27.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4483
Operating Profit Margin (TTM),0.3519
Net Profit Margin (TTM),0.2767
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2137
EPS Growth (TTM),15.8311
Revenue Growth (MRQ),0.059000000000000004
Revenue Growth (TTM),0.8875000000000001
Return On Equity (TTM),0.18539999999999998
Return On Assets (TTM),0.12560000000000002
Return On Investment (TTM),0.13640000000000002
Revenue Per Employee (TTM),646258.0
Total Debt/Total Capital (MRQ),0.1585
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),2.65
Interest Coverage (MRQ),29.06
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-16 00:00:00
theStreet since,2022-08-10 00:00:00
cfra since,2022-08-16 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
