,STT
% Above Low,0.25129999999999997
% Held by Institutions,0.8786
52-Wk Range,['58.62 - 104.87']
Annual Dividend $,2.52
Annual Dividend %,0.0327
Ask,73.36
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,73.33
Bid Size,200.0
Day Change $,-3.72
Day Change %,-0.0482
Day High,76.24
Day Low,73.26
Dividend Pay Date,2022-10-13 00:00:00
"EPS (TTM, GAAP)",7.06
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.392
Last (size),100.0
Last (time),3:36p ET 11/28/22
Market Cap,26.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.92
Prev Close,77.06
Price,73.35
Short Interest,0.0084
Today's Open,76.14
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.013986013986014068
Growth 1yr High Est,-0.022911051212938016
Growth 1yr Consensus Est,-0.018448532599476042
Growth 2yr Low Est,0.024921886624014233
Growth 2yr High Est,0.11957895715215172
Growth 2yr Consensus Est,0.07225042188808298
Growth 5yr Low Est,0.06953458358330486
Growth 5yr High Est,0.11816100900642978
Growth 5yr Consensus Est,0.09384779629486732
Growth 5yr Actual/Est,0.07983184787697031
Growth 3yr Historic,0.04908681874259174
Price/Earnings (TTM),10.9186
Price/Sales (TTM),2.34737
Price/Book (MRQ),1.19785
Price/Cash Flow (TTM),7.59302
5yr Low,42.1
5yr High,114.27
5yr Avg Return,-0.012600000000000005
EPS Growth 5yr,0.0765657
Revenue Growth 5yr,-0.0486114
Dividend Growth 5yr,0.0875527
Short Int Current Month,3072141.0
Short Int Prev Month,3432964.0
Short Int Pct of Float,0.0083973
Days to Cover,1.3324
Float,366.2233
Shares Outstanding,366.9402
Institutions Holding Shares,1139.0
FCF Growth 5yr,9.978074642765257
"Price/Earnings (TTM, GAAP)",10.92
"PEG Ratio (TTM, GAAP)",2.24
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.263
Net Profit Margin (TTM),0.2273
Annual Dividend Yield,0.0327
Dividend Change %,0.024
"Dividend Growth Rate, 3 Years",0.0718
EPS Growth (MRQ),-0.0611
EPS Growth (TTM),0.0381
Revenue Growth (MRQ),0.5661
Revenue Growth (TTM),0.47759999999999997
Return On Equity (TTM),0.1072
Return On Assets (TTM),0.0087
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-25 00:00:00
theStreet since,2020-06-08 00:00:00
cfra since,2022-05-19 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
