,TWST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),7.04,45.03,Valuation,0.15634021763268932
Price/Book (MRQ),1.82,12.61,Valuation,0.1443298969072165
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.41380000000000006,0.5874,Profitability,0.7044603336738169
Operating Profit Margin (TTM),-1.1307,-4.7459,Profitability,0.23824775069006934
Net Profit Margin (TTM),-1.0702,-4.5467,Profitability,0.2353795060153518
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1551,-0.0014000000000000002,Gowth rates,-110.78571428571426
EPS Growth (TTM),-0.2809,0.027200000000000002,Gowth rates,-10.32720588235294
Revenue Growth (MRQ),0.0213,1.3963999999999999,Gowth rates,0.015253509023202522
Revenue Growth (TTM),0.5383,0.9747,Gowth rates,0.552272494100749
Return On Equity (TTM),-0.318,0.1967,Effectiveness,-1.6166751398068122
Return On Assets (TTM),-0.2619,0.0016,Effectiveness,-163.6875
Return On Investment (TTM),-0.2886,0.0219,Effectiveness,-13.178082191780824
Revenue Per Employee (TTM),,1476201.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0036,Financial strength,-2.777777777777778
Quick Ratio (MRQ),6.15,2.06,Financial strength,2.9854368932038837
Interest Coverage (MRQ),,2.69,Financial strength,
