,TWST
% Above Low,0.0477
% Held by Institutions,0.9984999999999999
52-Wk Range,['23.90 - 99.74']
Annual Dividend $,
Annual Dividend %,
Ask,25.22
Ask Size,200.0
B/A Ratio,26.0
B/A Size,5200x200
Beta,1.1
Bid,25.04
Bid Size,5200.0
Closing Price,25.04
Day Change $,-0.4
Day Change %,-0.015700000000000002
Day High,25.82
Day Low,24.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.03
Ex-dividend Date,No dividend
Historical Volatility,0.9620000000000001
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,25.44
Short Interest,0.1091
Today's Open,25.24
Volume,814294.0
Volume 10-day Avg,2478485.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.6005917159763314
Growth 1yr High Est,0.4801324503311257
Growth 1yr Consensus Est,0.5403620831537286
Growth 2yr Low Est,0.3095380021656149
Growth 2yr High Est,0.1505807665525875
Growth 2yr Consensus Est,0.2300593843591012
Growth 5yr Low Est,0.13010233441614077
Growth 5yr High Est,0.02824737252360557
Growth 5yr Consensus Est,0.07917485346987317
Growth 5yr Actual/Est,0.05356738604170472
Growth 3yr Historic,0.0412231559290383
Price/Earnings (TTM),
Price/Sales (TTM),7.04392
Price/Book (MRQ),1.81646
Price/Cash Flow (TTM),
5yr Low,12.38
5yr High,214.07
5yr Avg Return,1.0478800000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.8002038
Dividend Growth 5yr,
Short Int Current Month,6081128.0
Short Int Prev Month,6090752.0
Short Int Pct of Float,0.10909700000000001
Days to Cover,3.57413
Float,55.79595
Shares Outstanding,56.36352
Institutions Holding Shares,309.0
FCF Growth 5yr,0.36934063481170853
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41380000000000006
Operating Profit Margin (TTM),-1.1307
Net Profit Margin (TTM),-1.0702
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1551
EPS Growth (TTM),-0.2809
Revenue Growth (MRQ),0.0213
Revenue Growth (TTM),0.5383
Return On Equity (TTM),-0.318
Return On Assets (TTM),-0.2619
Return On Investment (TTM),-0.2886
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),6.15
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-02-10 00:00:00
theStreet since,2020-02-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
