,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report,Q4 2021
high,34.46,35.95,170.86,214.07,84.63,,,,,,
low,12.38,19.64,18.52,73.18,23.9,,,,,,
change,0.7762000000000001,-0.0761,5.6583000000000006,-0.44170000000000004,-0.6773,,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,192.0,408.0,376.0,379.0,Balance Sheet,
Short Term Investments,,,,,,110.0,166.0,151.0,126.0,Balance Sheet,
Cash and Short Term Invs,,,,,,302.0,574.0,528.0,505.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,27.0,29.0,36.0,40.0,Balance Sheet,
Other Receivables,,,,,,6.0,6.0,5.0,,Balance Sheet,
"Total Receivables, Net",,,,,,33.0,35.0,41.0,40.0,Balance Sheet,
Invent. - Finished Goods,,,,,,7.0,10.0,8.0,,Balance Sheet,
Invent. - Work In Progress,,,,,,3.0,3.0,4.0,,Balance Sheet,
Invent. - Raw Materials,,,,,,30.0,32.0,31.0,,Balance Sheet,
Total Inventory,,,,,,40.0,45.0,43.0,39.0,Balance Sheet,
Prepaid Expenses,,,,,,10.0,11.0,12.0,12.0,Balance Sheet,
Total Current Assets,,,,,,385.0,664.0,624.0,596.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,137.0,170.0,203.0,214.0,Balance Sheet,
"Goodwill, Net",,,,,,84.0,86.0,86.0,,Balance Sheet,
Intangibles - Gross,,,,,,66.0,66.0,66.0,,Balance Sheet,
Accum. Intangible Amort.,,,,,,-2.0,-4.0,-5.0,,Balance Sheet,
Intangibles - Net,,,,,,64.0,62.0,61.0,,Balance Sheet,
Long Term Investments,,,,,,107.0,31.0,,,Balance Sheet,
Other Long Term Assets,,,,,,7.0,7.0,4.0,151.0,Balance Sheet,
Total Assets,,,,,,786.0,1022.0,980.0,961.0,Balance Sheet,
Accounts Payable,,,,,,23.0,17.0,21.0,20.0,Balance Sheet,
Accrued Expenses,,,,,,43.0,52.0,52.0,51.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,14.0,16.0,20.0,20.0,Balance Sheet,
Total Current Liabilities,,,,,,80.0,85.0,93.0,91.0,Balance Sheet,
Total Long Term Debt,,,,,,0.0,0.0,0.0,,Balance Sheet,
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
"Other Liabilities, Total",,,,,,80.0,74.0,66.0,81.0,Balance Sheet,
Total Liabilities,,,,,,160.0,158.0,159.0,172.0,Balance Sheet,
Common Stock,,,,,,0.0,0.0,0.0,,Balance Sheet,
Additional Paid-In Capital,,,,,,1282.0,1581.0,1599.0,,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,-656.0,-717.0,-777.0,,Balance Sheet,
Other Equity,,,,,,0.0,0.0,0.0,789.0,Balance Sheet,
Other Comprehensive Income,,,,,,0.0,0.0,-1.0,,Balance Sheet,
"Other Equity, Total",,,,,,0.0,0.0,-1.0,789.0,Balance Sheet,
Total Equity,,,,,,626.0,863.0,821.0,789.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,786.0,1022.0,980.0,961.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,51.0,56.0,56.0,56.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Total Revenue,,,,,,42018.0,48127.0,56113.0,57306.0,Income Statement,
"Cost of Revenue, Total",,,,,,27056.0,29714.0,30974.0,31586.0,Income Statement,
Selling/Gen/Admin Expense,,,,,,37935.0,37740.0,40704.0,54159.0,Income Statement,
Labor & Related Expense,,,,,,13163.0,16258.0,12989.0,,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,51098.0,53998.0,53693.0,54159.0,Income Statement,
Research & Development,,,,,,22630.0,31231.0,36840.0,29606.0,Income Statement,
Litigation,,,,,,-2826.0,,,,Income Statement,
Other Unusual Expnse (In),,,,,,,-6014.0,-4231.0,-5781.0,Income Statement,
Unusual Expense (Income),,,,,,-2826.0,-6014.0,-4231.0,-5781.0,Income Statement,
Total Operating Expense,,,,,,97958.0,108929.0,117276.0,109570.0,Income Statement,
Total Operating Income,,,,,,-55940.0,-60802.0,-61163.0,-52264.0,Income Statement,
"Inter Expse,Net Non-Operat",,,,,,-26.0,-29.0,0.0,-26.0,Income Statement,
"Inter/Invest Inc, Non-Oper",,,,,,154.0,259.0,722.0,1928.0,Income Statement,
OtherNon-OperatInc (Expnse),,,,,,-156.0,-245.0,-225.0,-461.0,Income Statement,
"Other, Net",,,,,,-156.0,-245.0,-225.0,-461.0,Income Statement,
Income Before Tax,,,,,,-55968.0,-60817.0,-60666.0,-50823.0,Income Statement,
Income Tax - Total,,,,,,-10405.0,-149.0,-149.0,292.0,Income Statement,
Income After Tax,,,,,,-45563.0,-60668.0,-60517.0,-51115.0,Income Statement,
Net Inc Before Extra Items,,,,,,-45563.0,-60668.0,-60517.0,-51115.0,Income Statement,
Total Net Income,,,,,,-45563.0,-60668.0,-60517.0,-51115.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,-45563.0,-60668.0,-60517.0,-51115.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,-45563.0,-60668.0,-60517.0,-51115.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,49912.0,53472.0,56287.0,56267.0,Income Statement,
