,NTNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.18,9.39,Valuation,0.4451544195953141
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.797,0.7206,Profitability,1.106022758812101
Operating Profit Margin (TTM),-0.33039999999999997,0.2172,Profitability,-1.5211786372007365
Net Profit Margin (TTM),-0.5045000000000001,0.1553,Profitability,-3.2485511912427563
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.3347,-0.0752,Gowth rates,4.450797872340425
EPS Growth (TTM),0.27140000000000003,-0.2824,Gowth rates,-0.9610481586402267
Revenue Growth (MRQ),-0.0449,0.15560000000000002,Gowth rates,-0.288560411311054
Revenue Growth (TTM),0.13369999999999999,0.1906,Gowth rates,0.7014690451206715
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.3435,0.10740000000000001,Effectiveness,-3.1983240223463687
Return On Investment (TTM),-0.6218,0.1387,Effectiveness,-4.483056957462149
Revenue Per Employee (TTM),245085.0,667721.0,Effectiveness,0.36704701514554733
Total Debt/Total Capital (MRQ),2.5138,0.39659999999999995,Financial strength,6.338376197680283
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0004,Financial strength,4.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-9.39,0.28,Financial strength,-33.535714285714285
