,NTNX
% Below High,0.19260000000000002
% Held by Institutions,0.7726000000000001
52-Wk Range,['13.44 - 35.56']
Annual Dividend $,
Annual Dividend %,
Ask,28.68
Ask Size,100.0
Ask close,30.58
B/A Ratio,5.0
B/A Size,500x100
Beta,1.2
Bid,28.47
Bid Size,500.0
Bid close,26.93
Change Since Close,-0.21| |(-0.73%)
Closing Price,28.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.65
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),1000.0
Last (time),1:00p ET 11/25/22
Last Trade,28.5
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.71
Short Interest,0.0286
Today's Open,
Volume,1351.0
Volume 10-day Avg,1638115.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-28.0
Growth 2yr High Est,1.4242424242424243
Growth 2yr Consensus Est,-13.287878787878787
Growth 5yr Low Est,-28.0
Growth 5yr High Est,1.4242424242424243
Growth 5yr Consensus Est,-13.287878787878787
Growth 5yr Actual/Est,0.12340070580929219
Growth 3yr Historic,-0.2674855818161258
Price/Earnings (TTM),
Price/Sales (TTM),4.17876
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,11.31
5yr High,64.87
5yr Avg Return,-0.024700000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.13321170000000002
Dividend Growth 5yr,
Short Int Current Month,6436086.0
Short Int Prev Month,6065232.0
Short Int Pct of Float,0.0285722
Days to Cover,3.0832
Float,228.3453
Shares Outstanding,230.0858
Institutions Holding Shares,365.0
FCF Growth 5yr,-5.333333333333333
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.797
Operating Profit Margin (TTM),-0.33039999999999997
Net Profit Margin (TTM),-0.5045000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3347
EPS Growth (TTM),0.27140000000000003
Revenue Growth (MRQ),-0.0449
Revenue Growth (TTM),0.13369999999999999
Return On Equity (TTM),
Return On Assets (TTM),-0.3435
Return On Investment (TTM),-0.6218
Revenue Per Employee (TTM),245085.0
Total Debt/Total Capital (MRQ),2.5138
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),-9.39
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2021-10-17 00:00:00
cfra since,2022-05-26 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
