,AL
% Below High,0.18230000000000002
% Held by Institutions,0.8968
52-Wk Range,['29.75 - 47.00']
Annual Dividend $,0.8
Annual Dividend %,0.0208
Ask,38.86
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.8
Bid,
Bid Size,
Closing Price,38.43
Day Change $,0.19
Day Change %,0.005
Day High,38.54
Day Low,38.16
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",-1.11
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.438
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,38.24
Short Interest,0.0246
Today's Open,38.32
Volume,105954.0
Volume 10-day Avg,368790.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-1.4248704663212435
Growth 1yr High Est,-1.2637362637362637
Growth 1yr Consensus Est,-1.3443033650287535
Growth 2yr Low Est,-2.733776696575256
Growth 2yr High Est,-3.506868131868132
Growth 2yr Consensus Est,-3.120322414221694
Growth 5yr Low Est,-1.4158466816209614
Growth 5yr High Est,-1.783414723574298
Growth 5yr Consensus Est,-1.5996307025976297
Growth 5yr Actual/Est,-1.5968490699035771
Growth 3yr Historic,-0.08107817821356805
Price/Earnings (TTM),
Price/Sales (TTM),1.84255
Price/Book (MRQ),0.65278
Price/Cash Flow (TTM),5.24423
5yr Low,8.41
5yr High,52.96
5yr Avg Return,0.0251
EPS Growth 5yr,0.007476399999999999
Revenue Growth 5yr,0.0803449
Dividend Growth 5yr,0.2420178
Short Int Current Month,2540104.0
Short Int Prev Month,2562511.0
Short Int Pct of Float,0.0245779
Days to Cover,4.4363
Float,103.6134
Shares Outstanding,110.8921
Institutions Holding Shares,366.0
FCF Growth 5yr,1.214683468404482
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.17190000000000003
Net Profit Margin (TTM),-0.0392
Annual Dividend Yield,0.020800000000000003
Dividend Change %,0.0902
"Dividend Growth Rate, 3 Years",0.1564
EPS Growth (MRQ),-0.056100000000000004
EPS Growth (TTM),-1.3413
Revenue Growth (MRQ),0.006500000000000001
Revenue Growth (TTM),0.1679
Return On Equity (TTM),-0.02
Return On Assets (TTM),-0.0033000000000000004
Return On Investment (TTM),-0.0034999999999999996
Revenue Per Employee (TTM),17929200.0
Total Debt/Total Capital (MRQ),0.7419
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.02
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-03-17 00:00:00
