,RGP
% Above Low,0.23329999999999998
% Held by Institutions,0.8509
52-Wk Range,['15.69 - 23.18']
Annual Dividend $,0.56
Annual Dividend %,0.028999999999999998
Ask,19.39
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,19.35
Bid Size,200.0
Day Change $,0.05
Day Change %,0.0026
Day High,19.42
Day Low,19.27
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.359
Last (size),40.0
Last (time),12:40p ET 11/28/22
Market Cap,653.1M
"P/E Ratio (TTM, GAAP)",9.0
Prev Close,19.3
Price,19.35
Short Interest,0.015600000000000001
Today's Open,19.27
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.05555555555555558
Growth 2yr High Est,0.009569377990430672
Growth 2yr Consensus Est,0.032562466772993126
Growth 5yr Low Est,0.05555555555555558
Growth 5yr High Est,0.009569377990430672
Growth 5yr Consensus Est,0.032562466772993126
Growth 5yr Actual/Est,0.2661805112739692
Growth 3yr Historic,0.28889360898706695
Price/Earnings (TTM),8.9983
Price/Sales (TTM),0.78867
Price/Book (MRQ),1.66191
Price/Cash Flow (TTM),8.04257
5yr Low,8.66
5yr High,23.18
5yr Avg Return,0.04545000000000001
EPS Growth 5yr,0.2914593
Revenue Growth 5yr,0.06651309999999999
Dividend Growth 5yr,0.0542507
Short Int Current Month,502771.0
Short Int Prev Month,596398.0
Short Int Pct of Float,0.015649
Days to Cover,3.32215
Float,32.1775
Shares Outstanding,33.75086
Institutions Holding Shares,252.0
FCF Growth 5yr,5.4682223316757606
"Price/Earnings (TTM, GAAP)",9.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3979
Operating Profit Margin (TTM),0.10960000000000002
Net Profit Margin (TTM),0.0876
Annual Dividend Yield,0.028999999999999998
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0317
EPS Growth (MRQ),-0.1338
EPS Growth (TTM),0.9784
Revenue Growth (MRQ),-0.059800000000000006
Revenue Growth (TTM),0.2414
Return On Equity (TTM),0.19760000000000003
Return On Assets (TTM),0.1381
Return On Investment (TTM),0.1681
Revenue Per Employee (TTM),193928.0
Total Debt/Total Capital (MRQ),0.048600000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0042
Quick Ratio (MRQ),
Interest Coverage (MRQ),81.44
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2020-12-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
