,RGP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.0,75.74,Valuation,0.11882756799577503
Price/Sales (TTM),0.79,5.07,Valuation,0.15581854043392504
Price/Book (MRQ),1.66,7.18,Valuation,0.23119777158774374
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.3979,0.49210000000000004,Profitability,0.808575492786019
Operating Profit Margin (TTM),0.10960000000000002,0.10619999999999999,Profitability,1.0320150659133713
Net Profit Margin (TTM),0.0876,0.055,Profitability,1.5927272727272728
Annual Dividend Yield,0.028999999999999998,0.0074,Dividend,3.9189189189189184
Dividend Change %,0.0,0.051100000000000007,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0317,0.0489,Dividend,0.6482617586912065
EPS Growth (MRQ),-0.1338,-18.5673,Gowth rates,0.0072062173821718836
EPS Growth (TTM),0.9784,-0.2057,Gowth rates,-4.756441419543024
Revenue Growth (MRQ),-0.059800000000000006,0.10880000000000001,Gowth rates,-0.5496323529411765
Revenue Growth (TTM),0.2414,0.11970000000000001,Gowth rates,2.016708437761069
Return On Equity (TTM),0.19760000000000003,0.1999,Effectiveness,0.9884942471235619
Return On Assets (TTM),0.1381,0.0565,Effectiveness,2.4442477876106192
Return On Investment (TTM),0.1681,0.0848,Effectiveness,1.982311320754717
Revenue Per Employee (TTM),193928.0,417216.0,Effectiveness,0.4648143887099248
Total Debt/Total Capital (MRQ),0.048600000000000004,0.4147,Financial strength,0.11719315167591031
Change in Debt/Total Capital Quarter over Quarter,-0.0042,0.0070999999999999995,Financial strength,-0.5915492957746479
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),81.44,18.36,Financial strength,4.435729847494553
