,PAYX
% Above Low,0.1516
% Held by Institutions,0.6815000000000001
52-Wk Range,['105.66 - 141.92']
Annual Dividend $,3.16
Annual Dividend %,0.0256
Ask,121.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,121.67
Bid Size,200.0
Day Change $,-1.53
Day Change %,-0.0124
Day High,122.62
Day Low,121.65
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.96
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.28600000000000003
Last (size),100.0
Last (time),10:10a ET 11/28/22
Market Cap,43.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.09
Prev Close,123.21
Price,121.68
Short Interest,0.0305
Today's Open,122.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.10215053763440851
Growth 1yr High Est,0.12137203166226906
Growth 1yr Consensus Est,0.11176128464833879
Growth 2yr Low Est,0.06936795174403354
Growth 2yr High Est,0.10068601583113457
Growth 2yr Consensus Est,0.08502698378758405
Growth 5yr Low Est,0.09993821316015233
Growth 5yr High Est,0.10979194955240201
Growth 5yr Consensus Est,0.10486508135627717
Growth 5yr Actual/Est,0.10849714071469974
Growth 3yr Historic,0.06336622807017545
Price/Earnings (TTM),31.09416
Price/Sales (TTM),9.37801
Price/Book (MRQ),14.1534
Price/Cash Flow (TTM),27.26735
5yr Low,47.87
5yr High,141.92
5yr Avg Return,0.12783333333333333
EPS Growth 5yr,0.10976380000000001
Revenue Growth 5yr,0.0790148
Dividend Growth 5yr,0.08525650000000001
Short Int Current Month,9802712.0
Short Int Prev Month,9478823.0
Short Int Pct of Float,0.030484200000000003
Days to Cover,6.25579
Float,321.6642
Shares Outstanding,360.4
Institutions Holding Shares,1796.0
FCF Growth 5yr,0.23829194033651138
"Price/Earnings (TTM, GAAP)",31.09
"PEG Ratio (TTM, GAAP)",2.17
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3997
Net Profit Margin (TTM),0.3038
Annual Dividend Yield,0.0256
Dividend Change %,0.0992
"Dividend Growth Rate, 3 Years",0.0639
EPS Growth (MRQ),0.2818
EPS Growth (TTM),0.17800000000000002
Revenue Growth (MRQ),0.0541
Revenue Growth (TTM),0.12539999999999998
Return On Equity (TTM),0.4654
Return On Assets (TTM),0.15560000000000002
Return On Investment (TTM),0.3257
Revenue Per Employee (TTM),295938.0
Total Debt/Total Capital (MRQ),0.2048
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),137.67
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-03-08 00:00:00
theStreet since,2009-08-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2015-12-22 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
