,PAYX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.09,53.11,Valuation,0.5853888156655997
Price/Sales (TTM),9.38,19.35,Valuation,0.4847545219638243
Price/Book (MRQ),14.15,19.03,Valuation,0.743562795585917
"PEG Ratio (TTM, GAAP)",2.17,3.41,Valuation,0.6363636363636364
Gross Profit Margin (TTM),,0.44520000000000004,Profitability,
Operating Profit Margin (TTM),0.3997,0.3027,Profitability,1.3204492897258011
Net Profit Margin (TTM),0.3038,0.23600000000000002,Profitability,1.2872881355932204
Annual Dividend Yield,0.0256,0.010400000000000001,Dividend,2.4615384615384612
Dividend Change %,0.0992,0.0818,Dividend,1.2127139364303179
"Dividend Growth Rate, 3 Years",0.0639,0.1223,Dividend,0.5224856909239575
EPS Growth (MRQ),0.2818,-3.5569,Gowth rates,-0.07922629255812645
EPS Growth (TTM),0.17800000000000002,0.15560000000000002,Gowth rates,1.1439588688946016
Revenue Growth (MRQ),0.0541,0.16460000000000002,Gowth rates,0.32867557715674356
Revenue Growth (TTM),0.12539999999999998,0.2273,Gowth rates,0.5516937967443906
Return On Equity (TTM),0.4654,0.5459,Effectiveness,0.85253709470599
Return On Assets (TTM),0.15560000000000002,0.1131,Effectiveness,1.3757736516357206
Return On Investment (TTM),0.3257,0.18910000000000002,Effectiveness,1.722369116869381
Revenue Per Employee (TTM),295938.0,686074.0,Effectiveness,0.43134997099438255
Total Debt/Total Capital (MRQ),0.2048,0.5613,Financial strength,0.3648672724033494
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0048,Financial strength,0.0625
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),137.67,27.21,Financial strength,5.059536934950385
