,VCYT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),6.63,45.03,Valuation,0.14723517654896734
Price/Book (MRQ),1.79,12.61,Valuation,0.14195083267248218
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.6557,0.5874,Profitability,1.116275110657133
Operating Profit Margin (TTM),-0.16920000000000002,-4.7459,Profitability,0.035651825786468326
Net Profit Margin (TTM),-0.1525,-4.5467,Profitability,0.033540809818109835
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.08720000000000001,-0.0014000000000000002,Gowth rates,-62.285714285714285
EPS Growth (TTM),0.46659999999999996,0.027200000000000002,Gowth rates,17.15441176470588
Revenue Growth (MRQ),0.0374,1.3963999999999999,Gowth rates,0.026783156688627904
Revenue Growth (TTM),0.5188,0.9747,Gowth rates,0.5322663383605212
Return On Equity (TTM),-0.0401,0.1967,Effectiveness,-0.2038637519064565
Return On Assets (TTM),-0.0374,0.0016,Effectiveness,-23.375
Return On Investment (TTM),-0.0392,0.0219,Effectiveness,-1.7899543378995433
Revenue Per Employee (TTM),372635.0,1476201.0,Effectiveness,0.252428361720389
Total Debt/Total Capital (MRQ),0.0016,0.4675,Financial strength,0.003422459893048128
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0036,Financial strength,0.0
Quick Ratio (MRQ),3.85,2.06,Financial strength,1.8689320388349515
Interest Coverage (MRQ),-113.88,2.69,Financial strength,-42.33457249070632
