,VCYT
% Above Low,0.7017
% Held by Institutions,1.0458
52-Wk Range,['14.85 - 45.58']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,200.0
B/A Ratio,40.5
B/A Size,8100x200
Beta,1.4
Bid,25.27
Bid Size,8100.0
Closing Price,25.27
Day Change $,-0.93
Day Change %,-0.0355
Day High,26.6
Day Low,25.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.61
Ex-dividend Date,No dividend
Historical Volatility,0.888
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,26.2
Short Interest,0.0528
Today's Open,26.05
Volume,672326.0
Volume 10-day Avg,882814.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.4609375
Growth 1yr High Est,-0.44660194174757284
Growth 1yr Consensus Est,-0.4537697208737864
Growth 2yr Low Est,-0.17974411231884058
Growth 2yr High Est,-0.4338272866632601
Growth 2yr Consensus Est,-0.30678569949105033
Growth 5yr Low Est,-0.17974411231884058
Growth 5yr High Est,-0.4338272866632601
Growth 5yr Consensus Est,-0.30678569949105033
Growth 5yr Actual/Est,0.3970117478181995
Growth 3yr Historic,0.5315656565656566
Price/Earnings (TTM),
Price/Sales (TTM),6.62938
Price/Book (MRQ),1.79324
Price/Cash Flow (TTM),
5yr Low,5.23
5yr High,86.03
5yr Avg Return,0.3991166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2752527
Dividend Growth 5yr,
Short Int Current Month,3743331.0
Short Int Prev Month,3795594.0
Short Int Pct of Float,0.052794299999999995
Days to Cover,2.73858
Float,71.02813
Shares Outstanding,71.7529
Institutions Holding Shares,299.0
FCF Growth 5yr,-0.26237276237276236
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6557
Operating Profit Margin (TTM),-0.16920000000000002
Net Profit Margin (TTM),-0.1525
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.08720000000000001
EPS Growth (TTM),0.46659999999999996
Revenue Growth (MRQ),0.0374
Revenue Growth (TTM),0.5188
Return On Equity (TTM),-0.0401
Return On Assets (TTM),-0.0374
Return On Investment (TTM),-0.0392
Revenue Per Employee (TTM),372635.0
Total Debt/Total Capital (MRQ),0.0016
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),3.85
Interest Coverage (MRQ),-113.88
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-01-19 00:00:00
theStreet since,2022-01-19 00:00:00
ford since,2021-10-08 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
