,MKTX
% Above Low,0.1812
% Held by Institutions,0.9669
52-Wk Range,['217.44 - 422.60']
Annual Dividend $,2.8
Annual Dividend %,0.0109
Ask,
Ask Size,
Ask close,257.15
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Bid close,256.19
Change Since Close,-7.68| |(-2.99%)
Closing Price,256.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",6.44
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.383
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,249.16
Market Cap,9.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.87
Prev Close,256.84
Short Interest,0.0245
Today's Open,
Volume,1.0
Volume 10-day Avg,309114.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.04579025110782864
Growth 1yr High Est,-0.04951856946354871
Growth 1yr Consensus Est,-0.047654410285688675
Growth 2yr Low Est,0.02044852769685962
Growth 2yr High Est,0.06641292945057009
Growth 2yr Consensus Est,0.043430728573714855
Growth 5yr Low Est,0.08705400038999636
Growth 5yr High Est,0.1254973606112319
Growth 5yr Consensus Est,0.10627568050061413
Growth 5yr Actual/Est,0.1084342933101543
Growth 3yr Historic,0.07903102146732716
Price/Earnings (TTM),39.86855
Price/Sales (TTM),13.70265
Price/Book (MRQ),9.48885
Price/Cash Flow (TTM),31.84992
5yr Low,172.09
5yr High,606.45
5yr Avg Return,0.12261666666666665
EPS Growth 5yr,0.1515193
Revenue Growth 5yr,0.13571149999999998
Dividend Growth 5yr,
Short Int Current Month,899008.0
Short Int Prev Month,852947.0
Short Int Pct of Float,0.0245137
Days to Cover,2.01561
Float,36.6737
Shares Outstanding,37.63682
Institutions Holding Shares,736.0
FCF Growth 5yr,-0.6887187352583579
"Price/Earnings (TTM, GAAP)",39.87
"PEG Ratio (TTM, GAAP)",4.54
Gross Profit Margin (TTM),0.929
Operating Profit Margin (TTM),0.4561
Net Profit Margin (TTM),0.3447
Annual Dividend Yield,0.010900000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1128
EPS Growth (TTM),-0.1183
Revenue Growth (MRQ),-0.0555
Revenue Growth (TTM),0.0003
Return On Equity (TTM),0.2345
Return On Assets (TTM),0.1533
Return On Investment (TTM),0.23399999999999999
Revenue Per Employee (TTM),1043577.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-11 00:00:00
theStreet since,2021-11-30 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
