,ORGN
% Above Low,0.1935
% Held by Institutions,0.2954
52-Wk Range,['4.65 - 7.71']
Annual Dividend $,
Annual Dividend %,
Ask,5.55
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,5.55
Bid Size,500.0
Day Change $,-0.09
Day Change %,-0.016
Day High,5.61
Day Low,5.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.48
Ex-dividend Date,No dividend
Historical Volatility,0.5650000000000001
Last (size),100.0
Last (time),9:37a ET 11/28/22
Market Cap,792.0M
"P/E Ratio (TTM, GAAP)",11.82
Prev Close,5.64
Price,5.55
Short Interest,0.075
Today's Open,5.61
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-3.1818181818181817
Growth 2yr High Est,-2.4722222222222223
Growth 2yr Consensus Est,-2.827020202020202
Growth 5yr Low Est,-3.1818181818181817
Growth 5yr High Est,-2.4722222222222223
Growth 5yr Consensus Est,-2.827020202020202
Growth 5yr Actual/Est,-1.4339285714285714
Growth 3yr Historic,0.0
Price/Earnings (TTM),11.81647
Price/Sales (TTM),
Price/Book (MRQ),2.28631
Price/Cash Flow (TTM),11.75255
5yr Low,4.65
5yr High,14.01
5yr Avg Return,-0.1575
Short Int Current Month,7875553.0
Short Int Prev Month,8062882.0
Short Int Pct of Float,0.0750143
Days to Cover,8.31922
Float,104.9578
Shares Outstanding,142.7039
Institutions Holding Shares,159.0
FCF Growth 5yr,0.7139268304780102
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8231999999999999
EPS Growth (TTM),3.1378
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),0.20829999999999999
Return On Assets (TTM),0.13470000000000001
Return On Investment (TTM),0.1373
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.016200000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-09 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
