,ORGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.82,20.13,Valuation,0.587183308494784
Price/Sales (TTM),,3.27,Valuation,
Price/Book (MRQ),2.29,5.58,Valuation,0.4103942652329749
"PEG Ratio (TTM, GAAP)",,0.12,Valuation,
Gross Profit Margin (TTM),,0.3453,Profitability,
Operating Profit Margin (TTM),,0.0535,Profitability,
Net Profit Margin (TTM),,0.0204,Profitability,
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),-0.8231999999999999,-0.6111,Gowth rates,1.3470790378006872
EPS Growth (TTM),3.1378,1.725,Gowth rates,1.8190144927536231
Revenue Growth (MRQ),,0.212,Gowth rates,
Revenue Growth (TTM),,0.23420000000000002,Gowth rates,
Return On Equity (TTM),0.20829999999999999,0.2206,Effectiveness,0.9442429737080689
Return On Assets (TTM),0.13470000000000001,0.06420000000000001,Effectiveness,2.0981308411214954
Return On Investment (TTM),0.1373,0.08410000000000001,Effectiveness,1.6325802615933411
Revenue Per Employee (TTM),0.0,817013.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.016200000000000003,0.4105,Financial strength,0.039464068209500616
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.001,Financial strength,1.7000000000000002
Quick Ratio (MRQ),,1.18,Financial strength,
Interest Coverage (MRQ),,26.2,Financial strength,
