,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.84,14.01,7.71,,,,,
low,9.58,5.12,4.65,,,,,
change,0.063,-0.39659999999999995,-0.1389,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,47.0,58.0,79.0,103.0,Balance Sheet
Short Term Investments,,,,397.0,369.0,327.0,259.0,Balance Sheet
Cash and Short Term Invs,,,,444.0,427.0,406.0,362.0,Balance Sheet
"Total Receivables, Net",,,,3.0,3.0,3.0,4.0,Balance Sheet
Prepaid Expenses,,,,4.0,3.0,3.0,5.0,Balance Sheet
Restricted Cash - Current,,,,0.0,0.0,0.0,1.0,Balance Sheet
Other Current Assets,,,,0.0,0.0,1.0,2.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,1.0,1.0,2.0,Balance Sheet
Total Current Assets,,,,451.0,433.0,413.0,373.0,Balance Sheet
Land/Improvements,,,,6.0,7.0,8.0,17.0,Balance Sheet
Machinery/Equipment,,,,3.0,4.0,4.0,5.0,Balance Sheet
Construction in Progress,,,,55.0,66.0,79.0,98.0,Balance Sheet
Other Prop./Plant/Equip.,,,,2.0,3.0,3.0,3.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,67.0,80.0,93.0,122.0,Balance Sheet
Accumulated Depreciation,,,,-8.0,-8.0,-8.0,-8.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,59.0,72.0,85.0,114.0,Balance Sheet
Intangibles - Gross,,,,0.0,0.0,0.0,0.0,Balance Sheet
Accum. Intangible Amort.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Intangibles - Net,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,0.0,0.0,0.0,5.0,Balance Sheet
Total Assets,,,,510.0,506.0,499.0,492.0,Balance Sheet
Accounts Payable,,,,2.0,3.0,5.0,8.0,Balance Sheet
