,BC
% Above Low,0.18359999999999999
% Held by Institutions,0.943
52-Wk Range,['61.89 - 103.43']
Annual Dividend $,1.46
Annual Dividend %,0.0199
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.6
Bid,72.77
Bid Size,
Closing Price,73.25
Day Change $,-0.37
Day Change %,-0.005
Day High,73.88
Day Low,73.24
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.43
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.43100000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.69
Prev Close,73.62
Short Interest,0.049
Today's Open,73.37
Volume,184898.0
Volume 10-day Avg,607533.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.21744471744471738
Growth 1yr High Est,0.19880952380952377
Growth 1yr Consensus Est,0.20812712062712058
Growth 2yr Low Est,0.06785454842972494
Growth 2yr High Est,0.16295987610535767
Growth 2yr Consensus Est,0.1154072122675413
Growth 5yr Low Est,0.265014744664035
Growth 5yr High Est,0.32213414366015547
Growth 5yr Consensus Est,0.29357444416209527
Growth 5yr Actual/Est,0.2651915640285591
Growth 3yr Historic,0.20100919687880064
Price/Earnings (TTM),8.69005
Price/Sales (TTM),0.7974
Price/Book (MRQ),2.65809
Price/Cash Flow (TTM),6.16781
5yr Low,25.22
5yr High,117.62
5yr Avg Return,0.07728333333333332
EPS Growth 5yr,0.20553349999999998
Revenue Growth 5yr,0.0542764
Dividend Growth 5yr,0.1569831
Short Int Current Month,3506182.0
Short Int Prev Month,4094214.0
Short Int Pct of Float,0.0489765
Days to Cover,4.8442
Float,71.60707
Shares Outstanding,72.50651
Institutions Holding Shares,489.0
FCF Growth 5yr,-1.2752565425843265
"Price/Earnings (TTM, GAAP)",8.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2846
Operating Profit Margin (TTM),0.1318
Net Profit Margin (TTM),0.0965
Annual Dividend Yield,0.0199
Dividend Change %,0.2879
"Dividend Growth Rate, 3 Years",0.17800000000000002
EPS Growth (MRQ),-0.1358
EPS Growth (TTM),0.12460000000000002
Revenue Growth (MRQ),-0.07490000000000001
Revenue Growth (TTM),0.19440000000000002
Return On Equity (TTM),0.334
Return On Assets (TTM),0.1137
Return On Investment (TTM),0.14830000000000002
Revenue Per Employee (TTM),358438.0
Total Debt/Total Capital (MRQ),0.5558
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),11.55
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-04-30 00:00:00
