,OCUL
% Above Low,0.09029999999999999
% Held by Institutions,0.556
52-Wk Range,['2.77 - 7.39']
Annual Dividend $,
Annual Dividend %,
Ask,3.02
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2.81
Bid Size,200.0
Closing Price,3.02
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.8059999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,232.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.02
Short Interest,0.0385
Today's Open,
Volume,295519.0
Volume 10-day Avg,552940.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08080808080808088
Growth 2yr High Est,-0.532608695652174
Growth 2yr Consensus Est,-0.22590030742204653
Growth 5yr Low Est,0.08080808080808088
Growth 5yr High Est,-0.532608695652174
Growth 5yr Consensus Est,-0.22590030742204653
Growth 5yr Actual/Est,2.2240759298647466
Growth 3yr Historic,-0.15613240346858637
Price/Earnings (TTM),
Price/Sales (TTM),4.67706
Price/Book (MRQ),5.03085
Price/Cash Flow (TTM),
5yr Low,2.35
5yr High,24.3
5yr Avg Return,0.49155
EPS Growth 5yr,
Revenue Growth 5yr,0.8732139999999999
Dividend Growth 5yr,
Short Int Current Month,2925878.0
Short Int Prev Month,3331771.0
Short Int Pct of Float,0.0384531
Days to Cover,3.82871
Float,76.0984
Shares Outstanding,77.01038
Institutions Holding Shares,163.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9068
Operating Profit Margin (TTM),-1.5554
Net Profit Margin (TTM),-1.1935
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2854
EPS Growth (TTM),0.3822
Revenue Growth (MRQ),-0.0245
Revenue Growth (TTM),0.2895
Return On Equity (TTM),-0.8886000000000001
Return On Assets (TTM),-0.3154
Return On Investment (TTM),-0.36869999999999997
Revenue Per Employee (TTM),218097.0
Total Debt/Total Capital (MRQ),0.5357000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),4.92
Interest Coverage (MRQ),-8.15
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2015-08-26 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
