,DAWN
% Below High,0.24480000000000002
% Held by Institutions,0.7434999999999999
52-Wk Range,['5.44 - 28.35']
Annual Dividend $,
Annual Dividend %,
Ask,23.25
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,20.0
Bid Size,200.0
Closing Price,21.41
Day Change $,0.27
Day Change %,0.0128
Day High,21.5
Day Low,20.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,1.092
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.14
Short Interest,0.0886
Today's Open,21.06
Volume,84243.0
Volume 10-day Avg,439085.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.027272727272727115
Growth 2yr High Est,-0.10952380952380947
Growth 2yr Consensus Est,-0.041125541125541176
Growth 5yr Low Est,0.027272727272727115
Growth 5yr High Est,-0.10952380952380947
Growth 5yr Consensus Est,-0.041125541125541176
Growth 5yr Actual/Est,-0.27429276150206383
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.33488
Price/Cash Flow (TTM),
5yr Low,5.44
5yr High,28.7
5yr Avg Return,-0.023900000000000005
Short Int Current Month,4558825.0
Short Int Prev Month,5037983.0
Short Int Pct of Float,0.08856389999999999
Days to Cover,8.23298
Float,51.82942
Shares Outstanding,73.54953
Institutions Holding Shares,132.0
FCF Growth 5yr,0.4257553961118184
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11470000000000001
EPS Growth (TTM),0.34600000000000003
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.3754
Return On Assets (TTM),-0.3617
Return On Investment (TTM),-0.375
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-05-27 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
