,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2021
high,10.88,15.74,10.28,,,,,
low,9.6,7.69,5.06,,,,,
change,0.0626,-0.042300000000000004,-0.38780000000000003,,,,,
Date,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,552.0,509.0,649.0,Balance Sheet,
"Trade Accts Recvble, Gross",,,,,12.0,5.0,Balance Sheet,
Prov. for Doubtful Accts,,,,,0.0,0.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,6.0,12.0,5.0,Balance Sheet,
Other Receivables,,,,1.0,2.0,4.0,Balance Sheet,
"Total Receivables, Net",,,,7.0,13.0,9.0,Balance Sheet,
Invent. - Finished Goods,,,,1.0,0.0,1.0,Balance Sheet,
Invent. - Work In Progress,,,,,,1.0,Balance Sheet,
Invent. - Raw Materials,,,,2.0,3.0,5.0,Balance Sheet,
Total Inventory,,,,3.0,3.0,6.0,Balance Sheet,
Prepaid Expenses,,,,20.0,34.0,93.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,4.0,1.0,Balance Sheet,
Total Current Assets,,,,581.0,564.0,758.0,Balance Sheet,
Buildings,,,,7.0,8.0,8.0,Balance Sheet,
Machinery/Equipment,,,,8.0,9.0,20.0,Balance Sheet,
Construction in Progress,,,,29.0,57.0,66.0,Balance Sheet,
Other Prop./Plant/Equip.,,,,31.0,37.0,61.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,75.0,111.0,155.0,Balance Sheet,
Accumulated Depreciation,,,,-6.0,-8.0,-11.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,69.0,103.0,145.0,Balance Sheet,
Other Long Term Assets,,,,,,2.0,Balance Sheet,
Total Assets,,,,651.0,667.0,905.0,Balance Sheet,
Accounts Payable,,,,,21.0,17.0,Balance Sheet,
Payable/Accrued,,,,17.0,,,Balance Sheet,
Accrued Expenses,,,,,24.0,22.0,Balance Sheet,
Notes Payable/ST Debt,,,,0.0,0.0,0.0,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,5.0,5.0,5.0,Balance Sheet,
Total Current Liabilities,,,,21.0,50.0,44.0,Balance Sheet,
Long Term Debt,,,,89.0,89.0,285.0,Balance Sheet,
Capital Lease Obligations,,,,26.0,30.0,51.0,Balance Sheet,
Total Long Term Debt,,,,115.0,119.0,336.0,Balance Sheet,
Total Debt,,,,120.0,124.0,342.0,Balance Sheet,
Minority Interest,,,,,0.0,0.0,Balance Sheet,
"Other Liabilities, Total",,,,0.0,0.0,0.0,Balance Sheet,
Total Liabilities,,,,137.0,169.0,381.0,Balance Sheet,
Common Stock,,,,718.0,718.0,769.0,Balance Sheet,
Additional Paid-In Capital,,,,8.0,13.0,16.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,-213.0,-233.0,-261.0,Balance Sheet,
"Other Equity, Total",,,,0.0,0.0,0.0,Balance Sheet,
Total Equity,,,,513.0,497.0,524.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,651.0,667.0,905.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,169.0,169.0,175.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,Balance Sheet,
