,LICY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,49.74,Valuation,
Price/Sales (TTM),73.16,4.84,Valuation,15.115702479338843
Price/Book (MRQ),2.08,8.39,Valuation,0.24791418355184744
"PEG Ratio (TTM, GAAP)",,29.79,Valuation,
Gross Profit Margin (TTM),0.4497,0.3996,Profitability,1.1253753753753752
Operating Profit Margin (TTM),-5.8892,-0.0013000000000000002,Profitability,4530.153846153846
Net Profit Margin (TTM),-15.057400000000001,-0.084,Profitability,179.25476190476192
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.2909,0.2796,Gowth rates,-1.040414878397711
EPS Growth (TTM),,0.0167,Gowth rates,
Revenue Growth (MRQ),-1.2273,6.5277,Gowth rates,-0.1880141550622731
Revenue Growth (TTM),,0.4153,Gowth rates,
Return On Equity (TTM),,0.24,Effectiveness,
Return On Assets (TTM),,0.08750000000000001,Effectiveness,
Return On Investment (TTM),,0.1107,Effectiveness,
Revenue Per Employee (TTM),,300402.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.3947,0.44520000000000004,Financial strength,0.8865678346810422
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),17.12,1.36,Financial strength,12.588235294117647
Interest Coverage (MRQ),,18.66,Financial strength,
