,AWI
% Above Low,0.0722
% Held by Institutions,1.0277
52-Wk Range,['71.64 - 118.14']
Annual Dividend $,1.02
Annual Dividend %,0.0132
Ask,77.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,76.81
Day Change $,0.01
Day Change %,0.0001
Day High,77.4
Day Low,76.11
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.09
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.302
Last (size),18.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.77
Prev Close,76.8
Short Interest,0.0178
Today's Open,76.26
Volume,152578.0
Volume 10-day Avg,250439.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.12499999999999978
Growth 1yr High Est,0.1200923787528867
Growth 1yr Consensus Est,0.12254618937644324
Growth 2yr Low Est,0.06459643605870014
Growth 2yr High Est,0.2095307254589176
Growth 2yr Consensus Est,0.13706358075880887
Growth 5yr Low Est,0.032066916269515716
Growth 5yr High Est,0.09296285480325084
Growth 5yr Consensus Est,0.06251488553638328
Growth 5yr Actual/Est,0.04919582413663082
Growth 3yr Historic,-0.009870961420980429
Price/Earnings (TTM),18.77339
Price/Sales (TTM),2.89601
Price/Book (MRQ),6.74546
Price/Cash Flow (TTM),12.58471
5yr Low,54.34
5yr High,118.14
5yr Avg Return,0.11023333333333332
EPS Growth 5yr,0.1705541
Revenue Growth 5yr,0.0573577
Dividend Growth 5yr,
Short Int Current Month,799298.0
Short Int Prev Month,931783.0
Short Int Pct of Float,0.0177603
Days to Cover,2.28294
Float,45.01872
Shares Outstanding,45.6628
Institutions Holding Shares,328.0
FCF Growth 5yr,2.199488083317425
"Price/Earnings (TTM, GAAP)",18.77
"PEG Ratio (TTM, GAAP)",1.49
Gross Profit Margin (TTM),0.36340000000000006
Operating Profit Margin (TTM),0.2177
Net Profit Margin (TTM),0.1594
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.063
"Dividend Growth Rate, 3 Years",0.7008
EPS Growth (MRQ),-0.0006
EPS Growth (TTM),0.1035
Revenue Growth (MRQ),0.0125
Revenue Growth (TTM),0.13949999999999999
Return On Equity (TTM),0.3675
Return On Assets (TTM),0.1121
Return On Investment (TTM),0.12710000000000002
Revenue Per Employee (TTM),432536.0
Total Debt/Total Capital (MRQ),0.5734
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-04-29 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-03-22 00:00:00
