,AWI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.77,13.91,Valuation,1.349388928828181
Price/Sales (TTM),2.9,1.88,Valuation,1.5425531914893618
Price/Book (MRQ),6.75,3.87,Valuation,1.744186046511628
"PEG Ratio (TTM, GAAP)",1.49,0.02,Valuation,74.5
Gross Profit Margin (TTM),0.36340000000000006,0.31260000000000004,Profitability,1.162507997440819
Operating Profit Margin (TTM),0.2177,0.1429,Profitability,1.523442967109867
Net Profit Margin (TTM),0.1594,0.1072,Profitability,1.4869402985074625
Annual Dividend Yield,0.013200000000000002,0.0134,Dividend,0.9850746268656717
Dividend Change %,0.063,0.2683,Dividend,0.2348117778606038
"Dividend Growth Rate, 3 Years",0.7008,0.0895,Dividend,7.830167597765363
EPS Growth (MRQ),-0.0006,0.5653,Gowth rates,-0.0010613833362816203
EPS Growth (TTM),0.1035,7.5147,Gowth rates,0.013773004910375662
Revenue Growth (MRQ),0.0125,0.1259,Gowth rates,0.09928514694201747
Revenue Growth (TTM),0.13949999999999999,0.20510000000000003,Gowth rates,0.6801560214529496
Return On Equity (TTM),0.3675,0.254,Effectiveness,1.4468503937007873
Return On Assets (TTM),0.1121,0.0326,Effectiveness,3.4386503067484666
Return On Investment (TTM),0.12710000000000002,0.1543,Effectiveness,0.8237200259235258
Revenue Per Employee (TTM),432536.0,403228.0,Effectiveness,1.0726834446020614
Total Debt/Total Capital (MRQ),0.5734,0.4794,Financial strength,1.196078431372549
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0029,Financial strength,0.20689655172413793
Quick Ratio (MRQ),1.11,1.11,Financial strength,1.0
Interest Coverage (MRQ),,10.87,Financial strength,
