,AWI
Price/Earnings (TTM),18.77339
Price/Sales (TTM),2.89601
Price/Book (MRQ),6.74546
Price/Cash Flow (TTM),12.58471
5yr Low,54.34
5yr High,118.14
5yr Avg Return,0.11023333333333332
EPS Growth 5yr,0.1705541
Revenue Growth 5yr,0.0573577
Dividend Growth 5yr,
Short Int Current Month,799298.0
Short Int Prev Month,931783.0
Short Int Pct of Float,0.0177603
Days to Cover,2.28294
Float,45.01872
Shares Outstanding,45.6628
Institutions Holding Shares,328.0
% Held by Institutions,1.027679
FCF Growth 5yr,2.199488083317425
