,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,64.0,27.04,,,,,
low,13.77,9.91,,,,,
change,0.8613,-0.4072,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,130.0,271.0,270.0,127.0,Balance Sheet
Short Term Investments,,,135.0,107.0,88.0,196.0,Balance Sheet
Cash and Short Term Invs,,,265.0,378.0,358.0,323.0,Balance Sheet
"Total Receivables, Net",,,17.0,17.0,12.0,12.0,Balance Sheet
Prepaid Expenses,,,10.0,18.0,14.0,14.0,Balance Sheet
Total Current Assets,,,292.0,413.0,384.0,349.0,Balance Sheet
Buildings,,,28.0,27.0,27.0,27.0,Balance Sheet
Land/Improvements,,,0.0,,,,Balance Sheet
Machinery/Equipment,,,37.0,38.0,39.0,41.0,Balance Sheet
Construction in Progress,,,3.0,6.0,11.0,19.0,Balance Sheet
Other Prop./Plant/Equip.,,,282.0,277.0,271.0,260.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,351.0,347.0,348.0,346.0,Balance Sheet
Accumulated Depreciation,,,-40.0,-42.0,-43.0,-46.0,Balance Sheet
Prop./Plant/Equip. - Net,,,310.0,306.0,304.0,300.0,Balance Sheet
"Goodwill, Net",,,12.0,12.0,12.0,12.0,Balance Sheet
Intangibles - Net,,,10.0,9.0,8.0,7.0,Balance Sheet
Long Term Investments,,,97.0,75.0,41.0,1.0,Balance Sheet
Other Long Term Assets,,,39.0,38.0,39.0,38.0,Balance Sheet
Total Assets,,,760.0,852.0,787.0,709.0,Balance Sheet
Accounts Payable,,,6.0,14.0,7.0,8.0,Balance Sheet
Accrued Expenses,,,65.0,69.0,80.0,63.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,5.0,5.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,22.0,19.0,13.0,9.0,Balance Sheet
