,TSVT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),11.73,45.03,Valuation,0.2604930046635576
Price/Book (MRQ),1.86,12.61,Valuation,0.14750198255352895
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9677,0.5874,Profitability,1.6474293496765406
Operating Profit Margin (TTM),-5.925599999999999,-4.7459,Profitability,1.2485724520112096
Net Profit Margin (TTM),-5.6859,-4.5467,Profitability,1.2505553478346931
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1276,-0.0014000000000000002,Gowth rates,-91.14285714285712
EPS Growth (TTM),,0.027200000000000002,Gowth rates,
Revenue Growth (MRQ),-0.0055000000000000005,1.3963999999999999,Gowth rates,-0.003938699513033515
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-2.2056,0.1967,Effectiveness,-11.213014743263853
Return On Assets (TTM),-0.6476000000000001,0.0016,Effectiveness,-404.75
Return On Investment (TTM),-0.8159000000000001,0.0219,Effectiveness,-37.25570776255708
Revenue Per Employee (TTM),117513.0,1476201.0,Effectiveness,0.07960501313845472
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
