,TSVT
% Above Low,0.5307999999999999
% Held by Institutions,0.8898999999999999
52-Wk Range,['9.91 - 34.02']
Annual Dividend $,
Annual Dividend %,
Ask,15.17
Ask Size,500.0
B/A Ratio,6.4
B/A Size,3200x500
Beta,
Bid,15.15
Bid Size,3200.0
Closing Price,15.17
Day Change $,-0.71
Day Change %,-0.0447
Day High,16.15
Day Low,15.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.53
Ex-dividend Date,No dividend
Historical Volatility,0.856
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,575.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.88
Short Interest,0.04650000000000001
Today's Open,15.82
Volume,339228.0
Volume 10-day Avg,377532.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2231121281464531
Growth 2yr High Est,-0.5381944444444444
Growth 2yr Consensus Est,-0.38065328629544876
Growth 5yr Low Est,-0.2231121281464531
Growth 5yr High Est,-0.5381944444444444
Growth 5yr Consensus Est,-0.38065328629544876
Growth 5yr Actual/Est,-0.33541852445246967
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),11.72506
Price/Book (MRQ),1.86287
Price/Cash Flow (TTM),
5yr Low,9.91
5yr High,64.0
5yr Avg Return,0.22704999999999997
Short Int Current Month,1736104.0
Short Int Prev Month,2047774.0
Short Int Pct of Float,0.0465152
Days to Cover,4.25032
Float,37.3036
Shares Outstanding,37.91669
Institutions Holding Shares,192.0
FCF Growth 5yr,0.18783011739998526
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9677
Operating Profit Margin (TTM),-5.925599999999999
Net Profit Margin (TTM),-5.6859
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1276
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0055000000000000005
Revenue Growth (TTM),
Return On Equity (TTM),-2.2056
Return On Assets (TTM),-0.6476000000000001
Return On Investment (TTM),-0.8159000000000001
Revenue Per Employee (TTM),117513.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-02 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
