,PTCT,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),1.2717,0.4675,Valuation,2.7202139037433155
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0036,Valuation,0.4166666666666667
Quick Ratio (MRQ),1.2,2.06,Valuation,0.5825242718446602
Interest Coverage (MRQ),-2.37,2.69,Valuation,-0.8810408921933086
Total Debt/Total Capital (MRQ),1.2717,0.4675,Profitability,2.7202139037433155
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0036,Profitability,0.4166666666666667
Quick Ratio (MRQ),1.2,2.06,Profitability,0.5825242718446602
Interest Coverage (MRQ),-2.37,2.69,Profitability,-0.8810408921933086
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2841,-0.0014000000000000002,Gowth rates,-202.92857142857142
EPS Growth (TTM),-0.1507,0.027200000000000002,Gowth rates,-5.540441176470588
Revenue Growth (MRQ),0.31170000000000003,1.3963999999999999,Gowth rates,0.22321684331137215
Revenue Growth (TTM),0.4152,0.9747,Gowth rates,0.42597722376115726
EPS Growth (MRQ),0.2841,-0.0014000000000000002,Effectiveness,-202.92857142857142
EPS Growth (TTM),-0.1507,0.027200000000000002,Effectiveness,-5.540441176470588
Revenue Growth (MRQ),0.31170000000000003,1.3963999999999999,Effectiveness,0.22321684331137215
Revenue Growth (TTM),0.4152,0.9747,Effectiveness,0.42597722376115726
EPS Growth (MRQ),0.2841,-0.0014000000000000002,Financial strength,-202.92857142857142
EPS Growth (TTM),-0.1507,0.027200000000000002,Financial strength,-5.540441176470588
Revenue Growth (MRQ),0.31170000000000003,1.3963999999999999,Financial strength,0.22321684331137215
Revenue Growth (TTM),0.4152,0.9747,Financial strength,0.42597722376115726
