,PTCT
% Below High,0.2747
% Held by Institutions,1.0623
52-Wk Range,['25.01 - 55.58']
Annual Dividend $,
Annual Dividend %,
Ask,40.32
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,40.27
Bid Size,100.0
Day Change $,0.56
Day Change %,0.0141
Day High,40.34
Day Low,39.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.46
Ex-dividend Date,No dividend
Historical Volatility,0.5660000000000001
Last (size),100.0
Last (time),11:47a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,39.75
Price,40.31
Short Interest,0.0676
Today's Open,39.81
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.030555555555555447
Growth 1yr High Est,-0.10000000000000009
Growth 1yr Consensus Est,-0.03472222222222232
Growth 2yr Low Est,-0.02447963462114411
Growth 2yr High Est,-0.35019493177387917
Growth 2yr Consensus Est,-0.18733728319751164
Growth 5yr Low Est,-0.01631975641409607
Growth 5yr High Est,-0.23346328784925277
Growth 5yr Consensus Est,-0.12489152213167443
Growth 5yr Actual/Est,0.06168040012918127
Growth 3yr Historic,0.16850275810501963
Total Debt/Total Capital (MRQ),1.2717
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),-2.37
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2841
EPS Growth (TTM),-0.1507
Revenue Growth (MRQ),0.31170000000000003
Revenue Growth (TTM),0.4152
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-03-13 00:00:00
theStreet since,2020-03-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
