,PACW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.1,11.43,Valuation,0.5336832895888014
Price/Sales (TTM),2.16,3.3,Valuation,0.6545454545454547
Price/Book (MRQ),0.94,1.46,Valuation,0.6438356164383562
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.4908,0.34240000000000004,Profitability,1.433411214953271
Net Profit Margin (TTM),0.3669,0.2812,Profitability,1.3047652916073968
Annual Dividend Yield,0.0379,0.028700000000000003,Dividend,1.3205574912891986
Dividend Change %,-0.2593,-0.0086,Dividend,30.151162790697672
"Dividend Growth Rate, 3 Years",-0.24239999999999998,0.0734,Dividend,-3.3024523160762937
EPS Growth (MRQ),-0.0029,-0.0335,Gowth rates,0.08656716417910447
EPS Growth (TTM),-0.12560000000000002,-0.09960000000000001,Gowth rates,1.2610441767068274
Revenue Growth (MRQ),0.1698,0.5429,Gowth rates,0.31276478172775835
Revenue Growth (TTM),0.2528,0.2466,Gowth rates,1.0251419302514193
Return On Equity (TTM),0.1394,0.1135,Effectiveness,1.2281938325991189
Return On Assets (TTM),0.013600000000000001,0.0099,Effectiveness,1.3737373737373737
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0025,0.0009,Financial strength,2.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
