,BLL
Price/Earnings (TTM),19.19843
Price/Sales (TTM),1.13944
Price/Book (MRQ),5.06735
Price/Cash Flow (TTM),10.74521
5yr Low,34.71
5yr High,102.76
5yr Avg Return,0.10873333333333335
EPS Growth 5yr,0.262395
Revenue Growth 5yr,0.08795220000000001
Dividend Growth 5yr,0.2190596
Short Int Current Month,13726488.0
Short Int Prev Month,13672991.0
Short Int Pct of Float,0.0440204
Days to Cover,4.95212
Float,311.8992
Shares Outstanding,313.9201
Institutions Holding Shares,967.0
% Held by Institutions,0.8347929999999999
FCF Growth 5yr,-11.676447678228316
