,KNTK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),4.66,7.57,Valuation,0.6155878467635403
Price/Book (MRQ),,4.65,Valuation,
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.5333,0.35119999999999996,Profitability,1.5185079726651483
Operating Profit Margin (TTM),-0.050300000000000004,0.192,Profitability,-0.2619791666666667
Net Profit Margin (TTM),0.15960000000000002,0.0358,Profitability,4.458100558659218
Annual Dividend Yield,0.0908,0.0379,Dividend,2.395778364116095
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),1.1799,2.3421000000000003,Gowth rates,0.5037786601767643
EPS Growth (TTM),-4.4702,7.2215,Gowth rates,-0.619012670497819
Revenue Growth (MRQ),-0.031000000000000003,0.7168000000000001,Gowth rates,-0.043247767857142856
Revenue Growth (TTM),5.982200000000001,47.807,Gowth rates,0.12513230280084509
Return On Equity (TTM),,0.3993,Effectiveness,
Return On Assets (TTM),0.0395,0.15810000000000002,Effectiveness,0.24984187223276405
Return On Investment (TTM),0.1027,0.2237,Effectiveness,0.45909700491729993
Revenue Per Employee (TTM),,7554984.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.6075,0.3658,Financial strength,1.6607435757244395
Change in Debt/Total Capital Quarter over Quarter,0.0063,-0.002,Financial strength,-3.15
Quick Ratio (MRQ),1.07,0.96,Financial strength,1.1145833333333335
Interest Coverage (MRQ),,13.28,Financial strength,
