,KNTK
% Above Low,0.13699999999999998
% Held by Institutions,0.39020000000000005
52-Wk Range,['29.05 - 44.99']
Annual Dividend $,3.0
Annual Dividend %,0.0908
Ask,36.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.7
Bid,30.5
Bid Size,400.0
Closing Price,33.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",-3.52
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.46299999999999997
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,33.03
Short Interest,0.0736
Today's Open,
Volume,112203.0
Volume 10-day Avg,174209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5760000000000001
Growth 2yr High Est,0.7151515151515153
Growth 2yr Consensus Est,0.6455757575757577
Growth 5yr Low Est,0.5760000000000001
Growth 5yr High Est,0.7151515151515153
Growth 5yr Consensus Est,0.6455757575757577
Growth 5yr Actual/Est,0.7666907649644077
Growth 3yr Historic,0.7627036959988903
Price/Earnings (TTM),
Price/Sales (TTM),4.65628
Price/Book (MRQ),
Price/Cash Flow (TTM),12.8813
5yr Low,4.7
5yr High,104.8
5yr Avg Return,-0.11251666666666665
Short Int Current Month,1420038.0
Short Int Prev Month,1494454.0
Short Int Pct of Float,0.0736345
Days to Cover,6.23976
Float,18.86919
Shares Outstanding,137.3522
Institutions Holding Shares,154.0
FCF Growth 5yr,0.5597265444848253
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5333
Operating Profit Margin (TTM),-0.050300000000000004
Net Profit Margin (TTM),0.15960000000000002
Annual Dividend Yield,0.0908
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1799
EPS Growth (TTM),-4.4702
Revenue Growth (MRQ),-0.031000000000000003
Revenue Growth (TTM),5.982200000000001
Return On Equity (TTM),
Return On Assets (TTM),0.0395
Return On Investment (TTM),0.1027
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.6075
Change in Debt/Total Capital Quarter over Quarter,0.0063
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-11-10 00:00:00
newConstructs since,
marketEdge opinion since,
