,DLB
% Above Low,0.1709
% Held by Institutions,0.9179999999999999
52-Wk Range,['61.55 - 96.85']
Annual Dividend $,1.08
Annual Dividend %,0.015
Ask,72.06
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,21.72
Bid Size,100.0
Closing Price,72.07
Day Change $,0.77
Day Change %,0.0108
Day High,72.47
Day Low,70.74
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.275
Last (size),54.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.06
Prev Close,71.3
Short Interest,0.0113
Today's Open,70.74
Volume,198851.0
Volume 10-day Avg,466782.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.11294765840220378
Growth 1yr High Est,-0.029569892473118364
Growth 1yr Consensus Est,-0.07125877543766107
Growth 2yr Low Est,-0.017653953424704327
Growth 2yr High Est,0.04061671581330234
Growth 2yr Consensus Est,0.011481381194299006
Growth 5yr Low Est,0.06184440137952063
Growth 5yr High Est,0.090998013079065
Growth 5yr Consensus Est,0.07642120722929281
Growth 5yr Actual/Est,0.0705835583455793
Growth 3yr Historic,0.022561682397747945
Price/Earnings (TTM),40.05936
Price/Sales (TTM),5.51579
Price/Book (MRQ),3.07651
Price/Cash Flow (TTM),25.39171
5yr Low,44.68
5yr High,104.74
5yr Avg Return,0.04036666666666666
EPS Growth 5yr,-0.0202133
Revenue Growth 5yr,0.0302584
Dividend Growth 5yr,0.1229551
Short Int Current Month,664909.0
Short Int Prev Month,705170.0
Short Int Pct of Float,0.0113104
Days to Cover,1.80408
Float,58.83416
Shares Outstanding,95.95756
Institutions Holding Shares,496.0
FCF Growth 5yr,3.8390739846558293
"Price/Earnings (TTM, GAAP)",40.06
"PEG Ratio (TTM, GAAP)",2.5
Gross Profit Margin (TTM),0.8873000000000001
Operating Profit Margin (TTM),0.1648
Net Profit Margin (TTM),0.1467
Annual Dividend Yield,0.015
Dividend Change %,0.13640000000000002
"Dividend Growth Rate, 3 Years",0.0958
EPS Growth (MRQ),-0.2812
EPS Growth (TTM),-0.39520000000000005
Revenue Growth (MRQ),-0.0393
Revenue Growth (TTM),-0.021400000000000002
Return On Equity (TTM),0.076
Return On Assets (TTM),0.0635
Return On Investment (TTM),0.0709
Revenue Per Employee (TTM),536726.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.64
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2019-08-02 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-05 00:00:00
