,ATR
% Above Low,0.17379999999999998
% Held by Institutions,0.9155
52-Wk Range,['90.23 - 129.09']
Annual Dividend $,1.52
Annual Dividend %,0.0144
Ask,170.05
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,77.69
Bid Size,100.0
Closing Price,105.91
Day Change $,-0.28
Day Change %,-0.0026
Day High,106.55
Day Low,105.56
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",3.55
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.271
Last (size),77.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.83
Prev Close,106.19
Short Interest,0.0143
Today's Open,106.55
Volume,114719.0
Volume 10-day Avg,216252.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.07853403141361248
Growth 1yr High Est,-0.06106870229007644
Growth 1yr Consensus Est,-0.06980136685184446
Growth 2yr Low Est,-0.05631247025226083
Growth 2yr High Est,0.023666190860381797
Growth 2yr Consensus Est,-0.016323139695939515
Growth 5yr Low Est,-0.03308013205920532
Growth 5yr High Est,0.011921288001263713
Growth 5yr Consensus Est,-0.010579422028970803
Growth 5yr Actual/Est,-0.009603110825483985
Growth 3yr Historic,-0.003136736681040475
Price/Earnings (TTM),29.82515
Price/Sales (TTM),2.06993
Price/Book (MRQ),3.68912
Price/Cash Flow (TTM),14.6223
5yr Low,79.84
5yr High,158.97
5yr Avg Return,0.04581666666666666
EPS Growth 5yr,0.0261199
Revenue Growth 5yr,0.0672342
Dividend Growth 5yr,0.0421885
Short Int Current Month,931451.0
Short Int Prev Month,1044771.0
Short Int Pct of Float,0.0143393
Days to Cover,3.90217
Float,64.98953
Shares Outstanding,65.28401
Institutions Holding Shares,484.0
FCF Growth 5yr,0.4802462258729767
"Price/Earnings (TTM, GAAP)",29.83
"PEG Ratio (TTM, GAAP)",4.39
Gross Profit Margin (TTM),0.35340000000000005
Operating Profit Margin (TTM),0.1142
Net Profit Margin (TTM),0.0712
Annual Dividend Yield,0.0144
Dividend Change %,0.0417
"Dividend Growth Rate, 3 Years",0.0435
EPS Growth (MRQ),-0.1434
EPS Growth (TTM),0.0025
Revenue Growth (MRQ),-0.0091
Revenue Growth (TTM),0.0562
Return On Equity (TTM),0.1241
Return On Assets (TTM),0.058300000000000005
Return On Investment (TTM),0.07540000000000001
Revenue Per Employee (TTM),256948.0
Total Debt/Total Capital (MRQ),0.3871
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),11.92
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-07-09 00:00:00
ford since,2021-12-10 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-06-17 00:00:00
