,DNB
% Above Low,0.2004
% Held by Institutions,0.8564
52-Wk Range,['11.23 - 20.86']
Annual Dividend $,0.2
Annual Dividend %,0.0148
Ask,15.98
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,
Bid,12.02
Bid Size,300.0
Closing Price,13.48
Day Change $,0.11
Day Change %,0.008199999999999999
Day High,13.54
Day Low,13.28
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-0.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.375
Last (size),98.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.37
Short Interest,0.0369
Today's Open,13.37
Volume,745779.0
Volume 10-day Avg,1789507.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.06796116504854366
Growth 1yr High Est,0.0366972477064218
Growth 1yr Consensus Est,0.05232920637748273
Growth 2yr Low Est,-0.029655781112091884
Growth 2yr High Est,0.07144596898595434
Growth 2yr Consensus Est,0.02089509393693123
Growth 5yr Low Est,0.0605507643991677
Growth 5yr High Est,0.07763064599063625
Growth 5yr Consensus Est,0.06909070519490197
Growth 5yr Actual/Est,0.0646445659603554
Growth 3yr Historic,0.05263157894736844
Price/Earnings (TTM),
Price/Sales (TTM),2.63641
Price/Book (MRQ),1.66615
Price/Cash Flow (TTM),10.36833
5yr Low,11.23
5yr High,29.55
5yr Avg Return,-0.1683666666666667
Short Int Current Month,11125805.0
Short Int Prev Month,14423993.0
Short Int Pct of Float,0.036927
Days to Cover,6.38637
Float,339.9787
Shares Outstanding,435.7314
Institutions Holding Shares,245.0
FCF Growth 5yr,0.3340599866023595
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6020000000000001
Operating Profit Margin (TTM),0.06849999999999999
Net Profit Margin (TTM),-0.014499999999999999
Annual Dividend Yield,0.0148
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.9979000000000005
EPS Growth (TTM),0.312
Revenue Growth (MRQ),0.0354
Revenue Growth (TTM),0.0882
Return On Equity (TTM),-0.010400000000000001
Return On Assets (TTM),-0.0034000000000000002
Return On Investment (TTM),-0.0037
Revenue Per Employee (TTM),353860.0
Total Debt/Total Capital (MRQ),0.49979999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.34
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-19 00:00:00
ford since,2022-03-18 00:00:00
cfra since,
theStreet since,2022-09-19 00:00:00
newConstructs since,
marketEdge opinion since,
