,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.55,26.48,20.86,,,,,
low,23.59,16.61,11.23,,,,,
change,-0.004,-0.1684,-0.33270000000000005,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,177.0,216.0,210.0,204.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,418.0,357.0,339.0,214.0,Balance Sheet
Prov. for Doubtful Accts,,,,-17.0,-18.0,-17.0,-13.0,Balance Sheet
"Total Receivables, Net",,,,402.0,343.0,330.0,208.0,Balance Sheet
Prepaid Expenses,,,,116.0,121.0,139.0,158.0,Balance Sheet
"Other Curr. Assets, Total",,,,23.0,52.0,69.0,97.0,Balance Sheet
Total Current Assets,,,,718.0,732.0,748.0,667.0,Balance Sheet
Other Prop./Plant/Equip.,,,,124.0,126.0,126.0,128.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,124.0,126.0,126.0,128.0,Balance Sheet
Accumulated Depreciation,,,,-28.0,-30.0,-31.0,-35.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,169.0,158.0,153.0,145.0,Balance Sheet
"Goodwill, Net",,,,3493.0,3475.0,3437.0,3401.0,Balance Sheet
Intangibles - Gross,,,,5939.0,5512.0,5405.0,5291.0,Balance Sheet
Accum. Intangible Amort.,,,,-557.0,-259.0,-284.0,-307.0,Balance Sheet
Intangibles - Net,,,,5382.0,5253.0,5121.0,4985.0,Balance Sheet
Long Term Investments,,,,27.0,28.0,27.0,26.0,Balance Sheet
Note Rcvble - Long Term,,,,37.0,39.0,36.0,30.0,Balance Sheet
Deferred Charges,,,,116.0,117.0,123.0,126.0,Balance Sheet
Pension Bene. - Overfunded,,,,37.0,37.0,38.0,36.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,19.0,17.0,15.0,14.0,Balance Sheet
Other Long Term Assets,,,,0.0,,,,Balance Sheet
Total Assets,,,,9997.0,9857.0,9697.0,9430.0,Balance Sheet
Accounts Payable,,,,84.0,75.0,81.0,90.0,Balance Sheet
Accrued Expenses,,,,308.0,227.0,245.0,266.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,28.0,33.0,33.0,33.0,Balance Sheet
Customer Advances,,,,569.0,633.0,583.0,537.0,Balance Sheet
Income Taxes Payable,,,,16.0,6.0,6.0,12.0,Balance Sheet
"Other Curr. Lblts, Total",,,,586.0,639.0,589.0,548.0,Balance Sheet
Total Current Liabilities,,,,1005.0,973.0,948.0,936.0,Balance Sheet
Total Long Term Debt,,,,3717.0,3689.0,3680.0,3552.0,Balance Sheet
Total Debt,,,,3745.0,3721.0,3713.0,3585.0,Balance Sheet
Deferred Income Tax,,,,1226.0,1199.0,1156.0,1109.0,Balance Sheet
Minority Interest,,,,64.0,65.0,64.0,62.0,Balance Sheet
Pension Benefits - Underfunded,,,,178.0,167.0,154.0,138.0,Balance Sheet
Other LT Liabilities,,,,126.0,120.0,114.0,107.0,Balance Sheet
"Other Liabilities, Total",,,,304.0,287.0,267.0,245.0,Balance Sheet
Total Liabilities,,,,6316.0,6214.0,6115.0,5904.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,,,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,4500.0,4507.0,4522.0,4517.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-762.0,-793.0,-795.0,-787.0,Balance Sheet
Treasury Stock - Common,,,,0.0,0.0,0.0,0.0,Balance Sheet
Cum. Trans. Adjustment,,,,-53.0,-89.0,-171.0,-265.0,Balance Sheet
Other Equity,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,-12.0,-12.0,-12.0,-12.0,Balance Sheet
Other Comprehensive Income,,,,7.0,31.0,38.0,73.0,Balance Sheet
"Other Equity, Total",,,,-57.0,-70.0,-144.0,-205.0,Balance Sheet
Total Equity,,,,3681.0,3644.0,3582.0,3525.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,9997.0,9857.0,9697.0,9430.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,431.0,434.0,434.0,436.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,1.0,1.0,1.0,1.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,598.0,536.0,537.0,556.0,Income Statement
"Cost of Revenue, Total",,,,177.0,177.0,358.0,175.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,199.0,188.0,,184.0,Income Statement
Depreciation,,,,4.0,3.0,3.0,3.0,Income Statement
Amortiz of Intangibles,,,,154.0,146.0,144.0,142.0,Income Statement
Depreciation/Amortization,,,,159.0,149.0,147.0,145.0,Income Statement
Restructuring Charge,,,,2.0,3.0,2.0,7.0,Income Statement
Other Unusual Expnse (In),,,,2.0,3.0,,,Income Statement
Unusual Expense (Income),,,,4.0,5.0,2.0,7.0,Income Statement
"Other Operat Expse, Total",,,,-1.0,,,,Income Statement
Total Operating Expense,,,,537.0,520.0,508.0,511.0,Income Statement
Total Operating Income,,,,61.0,16.0,30.0,46.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-61.0,-47.0,-42.0,-49.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,0.0,0.0,0.0,1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-18.0,-9.0,11.0,9.0,Income Statement
"Other, Net",,,,-18.0,-9.0,11.0,9.0,Income Statement
Income Before Tax,,,,-18.0,-40.0,-1.0,6.0,Income Statement
Income Tax - Total,,,,-7.0,-9.0,0.0,-4.0,Income Statement
Income After Tax,,,,-11.0,-31.0,-1.0,10.0,Income Statement
Minority Interest,,,,-2.0,-2.0,-2.0,-2.0,Income Statement
Equity In Affiliates,,,,1.0,1.0,1.0,1.0,Income Statement
Net Inc Before Extra Items,,,,-12.0,-31.0,-2.0,8.0,Income Statement
Total Extraordinary Items,,,,0.0,0.0,0.0,0.0,Income Statement
Total Net Income,,,,-12.0,-31.0,-2.0,8.0,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,-12.0,-31.0,-2.0,8.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-12.0,-31.0,-2.0,8.0,Income Statement
Basic/Primary Weighted Average Shares,,,,429.0,429.0,429.0,429.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.03,-0.07,0.0,0.02,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.03,-0.07,0.0,0.02,Income Statement
Diluted Weighted Average Shares,,,,429.0,429.0,429.0,429.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.03,-0.07,0.0,0.02,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.03,-0.07,0.0,0.02,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.05,Income Statement
Gross Divid - Common Stock,,,,,,,22.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,61.0,47.0,42.0,49.0,Income Statement
"Depreciat/Amort, Suppl",,,,3.0,3.0,3.0,3.0,Income Statement
Total Special Items,,,,61.0,43.0,11.0,19.0,Income Statement
Normalzd Income Before Tax,,,,43.0,3.0,11.0,25.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,-49.0,-43.0,-36.0,-36.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-56.0,-52.0,-36.0,-40.0,Income Statement
Normalized Income After Tax,,,,99.0,55.0,46.0,65.0,Income Statement
Normalzd Inc Avail to Common,,,,98.0,55.0,45.0,63.0,Income Statement
Basic Normalized EPS,,,,0.23,0.13,0.11,0.15,Income Statement
Diluted Normalized EPS,,,,0.23,0.13,0.11,0.15,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-66.0,-30.0,-30.0,-19.0,Cash Flow
Depreciation/Depletion,,,,616.0,149.0,296.0,442.0,Cash Flow
Deferred Taxes,,,,-77.0,-29.0,-60.0,-98.0,Cash Flow
Unusual Items,,,,5.0,1.0,0.0,2.0,Cash Flow
Other Non-Cash Items,,,,35.0,27.0,42.0,60.0,Cash Flow
Non-Cash Items,,,,40.0,28.0,43.0,62.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,13.0,31.0,84.0,112.0,Cash Flow
"Cash Interest Pd, Suppl",,,,192.0,41.0,83.0,123.0,Cash Flow
Accounts Receivable,,,,-14.0,60.0,68.0,184.0,Cash Flow
Other Assets,,,,29.0,-5.0,-34.0,-51.0,Cash Flow
Accounts Payable,,,,0.0,-12.0,-4.0,7.0,Cash Flow
Accrued Expenses,,,,-27.0,-87.0,-73.0,-53.0,Cash Flow
Changes in Working Capital,,,,-9.0,20.0,-32.0,54.0,Cash Flow
Total Cash from Operations,,,,504.0,139.0,217.0,440.0,Cash Flow
Purchase of Fixed Assets,,,,,-4.0,-8.0,-10.0,Cash Flow
Purchase/Acq of Intangibles,,,,-171.0,-44.0,-92.0,-143.0,Cash Flow
Capital Expenditures,,,,-171.0,-48.0,-99.0,-153.0,Cash Flow
Acquisition of Business,,,,-845.0,0.0,-1.0,-1.0,Cash Flow
Other Investing Cash Flow,,,,-63.0,-2.0,-4.0,-12.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-908.0,-2.0,-4.0,-13.0,Cash Flow
Total Cash from Investing,,,,-1079.0,-49.0,-103.0,-166.0,Cash Flow
Financing Cash Flow Items,,,,-42.0,-24.0,-25.0,-25.0,Cash Flow
Cash Divids Paid - Common,,,,,,,-22.0,Cash Flow
Cash Divs Paid - Preferred,,,,0.0,,,,Cash Flow
Total Cash Dividends Paid,,,,0.0,,,-22.0,Cash Flow
"Common Stock, Net",,,,0.0,,,,Cash Flow
"Preferred Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,1074.0,462.0,577.0,703.0,Cash Flow
Long Term Debt Reduction,,,,-632.0,-489.0,-617.0,-875.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,442.0,-27.0,-40.0,-172.0,Cash Flow
Total Cash From Financing,,,,400.0,-51.0,-65.0,-218.0,Cash Flow
Foreign Exchange Effects,,,,0.0,0.0,-10.0,-23.0,Cash Flow
Net Change in Cash,,,,-175.0,39.0,38.0,32.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,352.0,177.0,177.0,177.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,177.0,216.0,216.0,210.0,Cash Flow
"Depreciation, Supplemental",,,,616.0,149.0,296.0,442.0,Cash Flow
Free Cash Flow,,,,333.0,91.0,118.0,287.0,
