,DNB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,75.74,Valuation,
Price/Sales (TTM),2.64,5.07,Valuation,0.5207100591715976
Price/Book (MRQ),1.67,7.18,Valuation,0.23259052924791088
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.6020000000000001,0.49210000000000004,Profitability,1.2233285917496444
Operating Profit Margin (TTM),0.06849999999999999,0.10619999999999999,Profitability,0.6450094161958568
Net Profit Margin (TTM),-0.014499999999999999,0.055,Profitability,-0.2636363636363636
Annual Dividend Yield,0.0148,0.0074,Dividend,2.0
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),4.9979000000000005,-18.5673,Gowth rates,-0.26917753254377325
EPS Growth (TTM),0.312,-0.2057,Gowth rates,-1.5167719980554206
Revenue Growth (MRQ),0.0354,0.10880000000000001,Gowth rates,0.32536764705882354
Revenue Growth (TTM),0.0882,0.11970000000000001,Gowth rates,0.7368421052631579
Return On Equity (TTM),-0.010400000000000001,0.1999,Effectiveness,-0.05202601300650326
Return On Assets (TTM),-0.0034000000000000002,0.0565,Effectiveness,-0.06017699115044248
Return On Investment (TTM),-0.0037,0.0848,Effectiveness,-0.04363207547169812
Revenue Per Employee (TTM),353860.0,417216.0,Effectiveness,0.8481458045712532
Total Debt/Total Capital (MRQ),0.49979999999999997,0.4147,Financial strength,1.2052085845189293
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0070999999999999995,Financial strength,0.05633802816901409
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),1.34,18.36,Financial strength,0.0729847494553377
