,NPO
% Below High,0.0636
% Held by Institutions,0.9529000000000001
52-Wk Range,['76.14 - 127.67']
Annual Dividend $,1.12
Annual Dividend %,0.009399999999999999
Ask,136.49
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.4
Bid,102.47
Bid Size,300.0
Closing Price,119.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",7.99
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.354
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.95
Prev Close,119.55
Short Interest,0.0218
Today's Open,
Volume,24148.0
Volume 10-day Avg,111081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.27541589648798515
Growth 1yr High Est,0.32545454545454544
Growth 1yr Consensus Est,0.3004352209712653
Growth 2yr Low Est,0.1587224409976158
Growth 2yr High Est,0.1805599201895498
Growth 2yr Consensus Est,0.1696411805935828
Growth 5yr Low Est,0.1587224409976158
Growth 5yr High Est,0.1805599201895498
Growth 5yr Consensus Est,0.1696411805935828
Growth 5yr Actual/Est,0.29778745603057144
Growth 3yr Historic,0.22057327001356852
Price/Earnings (TTM),14.95338
Price/Sales (TTM),2.24436
Price/Book (MRQ),1.96157
Price/Cash Flow (TTM),9.34603
5yr Low,30.04
5yr High,127.67
5yr Avg Return,0.08444999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.0078516
Dividend Growth 5yr,0.051547499999999996
Short Int Current Month,450627.0
Short Int Prev Month,364903.0
Short Int Pct of Float,0.0218472
Days to Cover,3.4473
Float,20.62237
Shares Outstanding,20.80283
Institutions Holding Shares,284.0
FCF Growth 5yr,0.39841551672221714
"Price/Earnings (TTM, GAAP)",14.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.37770000000000004
Operating Profit Margin (TTM),0.10560000000000001
Net Profit Margin (TTM),0.15130000000000002
Annual Dividend Yield,0.0094
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",0.04
EPS Growth (MRQ),0.2018
EPS Growth (TTM),2.3480000000000003
Revenue Growth (MRQ),0.28190000000000004
Revenue Growth (TTM),0.2262
Return On Equity (TTM),0.1383
Return On Assets (TTM),0.0692
Return On Investment (TTM),0.0785
Revenue Per Employee (TTM),251841.0
Total Debt/Total Capital (MRQ),0.40159999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),1.98
Interest Coverage (MRQ),4.85
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-23 00:00:00
theStreet since,2021-11-08 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
