,CCNE
% Below High,0.07440000000000001
% Held by Institutions,0.5349
52-Wk Range,['23.05 - 28.50']
Annual Dividend $,0.7
Annual Dividend %,0.0265
Ask,42.24
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,18.97
Bid Size,200.0
Closing Price,26.38
Day Change $,0.21
Day Change %,0.008
Day High,26.52
Day Low,26.29
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24600000000000002
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,557.2M
"P/E Ratio (TTM, GAAP)",7.79
Prev Close,26.17
Short Interest,0.0043
Today's Open,26.33
Volume,22402.0
Volume 10-day Avg,64088.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.06730769230769229
Growth 1yr High Est,0.06369426751592355
Growth 1yr Consensus Est,0.06550097991180792
Growth 2yr Low Est,-0.030910718410718463
Growth 2yr High Est,0.02885312178191385
Growth 2yr Consensus Est,-0.0010287983144023072
Growth 5yr Low Est,0.03339521550728447
Growth 5yr High Est,0.06065297598529659
Growth 5yr Consensus Est,0.04702409574629053
Growth 5yr Actual/Est,0.04540948461263414
Growth 3yr Historic,0.04670148659592871
Price/Earnings (TTM),7.78647
Price/Sales (TTM),2.58459
Price/Book (MRQ),1.2156
Price/Cash Flow (TTM),8.6978
5yr Low,13.25
5yr High,33.78
5yr Avg Return,0.023
EPS Growth 5yr,0.17382
Revenue Growth 5yr,0.1374835
Dividend Growth 5yr,0.0074635
Short Int Current Month,88597.0
Short Int Prev Month,109204.0
Short Int Pct of Float,0.0043088
Days to Cover,1.41157
Float,20.59101
Shares Outstanding,21.12035
Institutions Holding Shares,143.0
FCF Growth 5yr,2.568134171907757
"Price/Earnings (TTM, GAAP)",7.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3528
Net Profit Margin (TTM),0.2873
Annual Dividend Yield,0.0265
Dividend Change %,0.0074
"Dividend Growth Rate, 3 Years",0.0074
EPS Growth (MRQ),0.0535
EPS Growth (TTM),0.2266
Revenue Growth (MRQ),0.11170000000000001
Revenue Growth (TTM),0.0984
Return On Equity (TTM),0.1369
Return On Assets (TTM),0.0117
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-10-30 00:00:00
marketEdge opinion since,
