,CCNE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.79,11.43,Valuation,0.6815398075240595
Price/Sales (TTM),2.58,3.3,Valuation,0.7818181818181819
Price/Book (MRQ),1.22,1.46,Valuation,0.8356164383561644
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3528,0.34240000000000004,Profitability,1.0303738317757007
Net Profit Margin (TTM),0.2873,0.2812,Profitability,1.021692745376956
Annual Dividend Yield,0.0265,0.028700000000000003,Dividend,0.9233449477351915
Dividend Change %,0.0074,-0.0086,Dividend,-0.8604651162790699
"Dividend Growth Rate, 3 Years",0.0074,0.0734,Dividend,0.10081743869209808
EPS Growth (MRQ),0.0535,-0.0335,Gowth rates,-1.5970149253731343
EPS Growth (TTM),0.2266,-0.09960000000000001,Gowth rates,-2.2751004016064256
Revenue Growth (MRQ),0.11170000000000001,0.5429,Gowth rates,0.20574691471725917
Revenue Growth (TTM),0.0984,0.2466,Gowth rates,0.3990267639902676
Return On Equity (TTM),0.1369,0.1135,Effectiveness,1.2061674008810572
Return On Assets (TTM),0.0117,0.0099,Effectiveness,1.1818181818181817
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004,0.0009,Financial strength,-3.6666666666666674
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
