,STRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),6.11,45.03,Valuation,0.13568731956473462
Price/Book (MRQ),1.76,12.61,Valuation,0.13957176843774782
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.6441999999999999,-4.7459,Profitability,0.3464464063718157
Net Profit Margin (TTM),-1.7585,-4.5467,Profitability,0.386764026656696
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.3279,-0.0014000000000000002,Gowth rates,-234.2142857142857
EPS Growth (TTM),0.1192,0.027200000000000002,Gowth rates,4.38235294117647
Revenue Growth (MRQ),-0.105,1.3963999999999999,Gowth rates,-0.07519335433973075
Revenue Growth (TTM),0.1729,0.9747,Gowth rates,0.17738791423001948
Return On Equity (TTM),-0.4782,0.1967,Effectiveness,-2.43111337061515
Return On Assets (TTM),-0.3179,0.0016,Effectiveness,-198.6875
Return On Investment (TTM),-0.3618,0.0219,Effectiveness,-16.52054794520548
Revenue Per Employee (TTM),311580.0,1476201.0,Effectiveness,0.21106881786423393
Total Debt/Total Capital (MRQ),0.07740000000000001,0.4675,Financial strength,0.16556149732620323
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004,0.0036,Financial strength,-0.7777777777777779
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
