,STRO
Price/Earnings (TTM),
Price/Sales (TTM),6.11038
Price/Book (MRQ),1.76456
Price/Cash Flow (TTM),
5yr Low,3.33
5yr High,28.3
5yr Avg Return,-0.013980000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0070942
Dividend Growth 5yr,
Short Int Current Month,3806543.0
Short Int Prev Month,4148490.0
Short Int Pct of Float,0.07019210000000001
Days to Cover,10.69152
Float,54.22581
Shares Outstanding,57.47547
Institutions Holding Shares,160.0
% Held by Institutions,0.904067
FCF Growth 5yr,-0.6724898720024123
