,VMI
% Below High,0.023399999999999997
% Held by Institutions,0.9632999999999999
52-Wk Range,['203.31 - 341.22']
Annual Dividend $,2.2
Annual Dividend %,0.006500000000000001
Ask,344.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,1.1
Bid,137.45
Bid Size,100.0
Closing Price,333.25
Day Change $,-7.19
Day Change %,-0.021099999999999997
Day High,338.67
Day Low,332.78
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",11.02
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.3
Last (size),200.0
Last (time),7:00p ET 11/28/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.9
Prev Close,340.44
Short Interest,0.0147
Today's Open,337.86
Volume,95623.0
Volume 10-day Avg,93665.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2740740740740739
Growth 1yr High Est,0.2697247706422017
Growth 1yr Consensus Est,0.2718994223581378
Growth 2yr Low Est,0.1889992463393625
Growth 2yr High Est,0.19989128705520487
Growth 2yr Consensus Est,0.19444526669728368
Growth 5yr Low Est,0.21742779996526135
Growth 5yr High Est,0.22119904952215286
Growth 5yr Consensus Est,0.2193134247437071
Growth 5yr Actual/Est,0.21979560776378998
Growth 3yr Historic,0.1234008879530673
Price/Earnings (TTM),30.89864
Price/Sales (TTM),1.73871
Price/Book (MRQ),4.78909
Price/Cash Flow (TTM),21.40669
5yr Low,82.6
5yr High,341.22
5yr Avg Return,0.13801666666666668
EPS Growth 5yr,0.035956800000000004
Revenue Growth 5yr,0.0678613
Dividend Growth 5yr,0.1031002
Short Int Current Month,307517.0
Short Int Prev Month,362382.0
Short Int Pct of Float,0.0147497
Days to Cover,3.04228
Float,20.85944
Shares Outstanding,21.33306
Institutions Holding Shares,436.0
FCF Growth 5yr,1.0625577200779208
"Price/Earnings (TTM, GAAP)",30.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.25129999999999997
Operating Profit Margin (TTM),0.08960000000000001
Net Profit Margin (TTM),0.0579
Annual Dividend Yield,0.006500000000000001
Dividend Change %,0.4203
"Dividend Growth Rate, 3 Years",0.1777
EPS Growth (MRQ),-0.0553
EPS Growth (TTM),0.1555
Revenue Growth (MRQ),-0.0336
Revenue Growth (TTM),0.2518
Return On Equity (TTM),0.1677
Return On Assets (TTM),0.0687
Return On Investment (TTM),0.0907
Revenue Per Employee (TTM),378318.0
Total Debt/Total Capital (MRQ),0.37460000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),9.15
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-08-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
