,VMI
Price/Earnings (TTM),30.89864
Price/Sales (TTM),1.73871
Price/Book (MRQ),4.78909
Price/Cash Flow (TTM),21.40669
5yr Low,82.6
5yr High,341.22
5yr Avg Return,0.13801666666666668
EPS Growth 5yr,0.035956800000000004
Revenue Growth 5yr,0.0678613
Dividend Growth 5yr,0.1031002
Short Int Current Month,307517.0
Short Int Prev Month,362382.0
Short Int Pct of Float,0.0147497
Days to Cover,3.04228
Float,20.85944
Shares Outstanding,21.33306
Institutions Holding Shares,436.0
% Held by Institutions,0.963266
FCF Growth 5yr,1.0625577200779208
