,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,176.35,171.55,151.5,176.62,265.09,341.22,,,,,
low,160.3,103.01,107.98,82.6,170.53,203.31,,,,,
change,-0.024100000000000003,-0.3368,0.2842,0.1576,0.42340000000000005,0.32380000000000003,,,,,
Date,,,,,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,177.0,150.0,155.0,166.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,714.0,778.0,828.0,830.0,Balance Sheet
Other Receivables,,,,,,,9.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,723.0,778.0,828.0,830.0,Balance Sheet
Invent. - Finished Goods,,,,,,,387.0,431.0,405.0,394.0,Balance Sheet
Invent. - Work In Progress,,,,,,,64.0,79.0,73.0,78.0,Balance Sheet
Invent. - Raw Materials,,,,,,,278.0,298.0,309.0,275.0,Balance Sheet
Total Inventory,,,,,,,729.0,807.0,787.0,746.0,Balance Sheet
Prepaid Expenses,,,,,,,84.0,105.0,87.0,107.0,Balance Sheet
Total Current Assets,,,,,,,1713.0,1841.0,1857.0,1850.0,Balance Sheet
Buildings,,,,,,,414.0,,,,Balance Sheet
Land/Improvements,,,,,,,112.0,,,,Balance Sheet
Machinery/Equipment,,,,,,,699.0,,,,Balance Sheet
Construction in Progress,,,,,,,79.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,270.0,1451.0,1452.0,1427.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1575.0,1451.0,1452.0,1427.0,Balance Sheet
Accumulated Depreciation,,,,,,,-823.0,-841.0,-845.0,-830.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,751.0,610.0,608.0,597.0,Balance Sheet
"Goodwill, Net",,,,,,,709.0,708.0,742.0,729.0,Balance Sheet
Intangibles - Gross,,,,,,,354.0,354.0,378.0,368.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-179.0,-185.0,-186.0,-185.0,Balance Sheet
Intangibles - Net,,,,,,,175.0,169.0,192.0,183.0,Balance Sheet
Other Long Term Assets,,,,,,,99.0,254.0,276.0,263.0,Balance Sheet
Total Assets,,,,,,,3447.0,3581.0,3675.0,3622.0,Balance Sheet
Accounts Payable,,,,,,,348.0,404.0,388.0,377.0,Balance Sheet
Accrued Expenses,,,,,,,253.0,215.0,237.0,262.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,13.0,8.0,4.0,5.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,5.0,4.0,3.0,2.0,Balance Sheet
Dividends Payable,,,,,,,11.0,12.0,12.0,12.0,Balance Sheet
Customer Advances,,,,,,,136.0,169.0,176.0,200.0,Balance Sheet
Income Taxes Payable,,,,,,,,6.0,10.0,11.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,146.0,187.0,198.0,223.0,Balance Sheet
Total Current Liabilities,,,,,,,766.0,819.0,831.0,868.0,Balance Sheet
Total Long Term Debt,,,,,,,947.0,963.0,996.0,935.0,Balance Sheet
Total Debt,,,,,,,965.0,976.0,1003.0,942.0,Balance Sheet
Deferred Income Tax,,,,,,,48.0,51.0,56.0,49.0,Balance Sheet
Minority Interest,,,,,,,27.0,28.0,65.0,60.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,1.0,0.0,0.0,0.0,Balance Sheet
Other LT Liabilities,,,,,,,272.0,245.0,240.0,197.0,Balance Sheet
"Other Liabilities, Total",,,,,,,273.0,245.0,240.0,197.0,Balance Sheet
Total Liabilities,,,,,,,2060.0,2105.0,2186.0,2109.0,Balance Sheet
Common Stock,,,,,,,28.0,28.0,28.0,28.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1.0,5.0,4.0,13.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2394.0,2445.0,2509.0,2570.0,Balance Sheet
Treasury Stock - Common,,,,,,,-774.0,-770.0,-765.0,-770.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-243.0,-233.0,-274.0,-319.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-36.0,-35.0,-35.0,-35.0,Balance Sheet
Other Comprehensive Income,,,,,,,16.0,36.0,22.0,26.0,Balance Sheet
"Other Equity, Total",,,,,,,-263.0,-232.0,-288.0,-328.0,Balance Sheet
Total Equity,,,,,,,1387.0,1476.0,1488.0,1513.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,3447.0,3581.0,3675.0,3622.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,21.0,21.0,21.0,21.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Date,,,,,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Income Statement
Total Revenue,,,,,,,963.0,981.0,1136.0,1097.0,Income Statement
"Cost of Revenue, Total",,,,,,,741.0,732.0,843.0,812.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,154.0,145.0,164.0,165.0,Income Statement
Labor & Related Expense,,,,,,,11.0,9.0,10.0,10.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,165.0,154.0,174.0,176.0,Income Statement
Unusual Expense (Income),,,,,,,6.0,,,,Income Statement
Total Operating Expense,,,,,,,913.0,886.0,1017.0,987.0,Income Statement
Total Operating Income,,,,,,,51.0,95.0,119.0,110.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-11.0,-11.0,-11.0,-12.0,Income Statement
"Inter Income, Non-Operating",,,,,,,0.0,0.0,0.0,1.0,Income Statement
"Invest Income, Non-Operat",,,,,,,0.0,-1.0,-2.0,-1.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,-1.0,-2.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,3.0,4.0,2.0,3.0,Income Statement
"Other, Net",,,,,,,3.0,4.0,2.0,3.0,Income Statement
Income Before Tax,,,,,,,43.0,86.0,107.0,101.0,Income Statement
Income Tax - Total,,,,,,,15.0,23.0,30.0,28.0,Income Statement
Income After Tax,,,,,,,28.0,63.0,78.0,73.0,Income Statement
Minority Interest,,,,,,,-1.0,-1.0,-1.0,-1.0,Income Statement
Equity In Affiliates,,,,,,,0.0,0.0,-1.0,0.0,Income Statement
Net Inc Before Extra Items,,,,,,,27.0,62.0,76.0,72.0,Income Statement
Total Net Income,,,,,,,27.0,62.0,76.0,72.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,27.0,62.0,76.0,72.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,27.0,62.0,76.0,72.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,21.0,21.0,21.0,21.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.27,2.93,3.57,3.38,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.27,2.93,3.57,3.38,Income Statement
Diluted Weighted Average Shares,,,,,,,22.0,21.0,22.0,22.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.25,2.9,3.53,3.34,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.25,2.9,3.53,3.34,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.5,0.55,0.55,0.55,Income Statement
Gross Divid - Common Stock,,,,,,,11.0,12.0,12.0,12.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,11.0,11.0,11.0,12.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,19.0,18.0,19.0,19.0,Income Statement
Total Special Items,,,,,,,6.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,,49.0,86.0,107.0,101.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,2.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,17.0,23.0,30.0,28.0,Income Statement
Normalized Income After Tax,,,,,,,32.0,63.0,78.0,73.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,31.0,62.0,76.0,72.0,Income Statement
Basic Normalized EPS,,,,,,,1.46,2.93,3.57,3.38,Income Statement
Diluted Normalized EPS,,,,,,,1.44,2.9,3.53,3.34,Income Statement
Date,,,,,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Cash Flow
Net Income,,,,,,,197725.0,62906.0,140113.0,213043.0,Cash Flow
Depreciation/Depletion,,,,,,,92577.0,23884.0,48012.0,72803.0,Cash Flow
Deferred Taxes,,,,,,,71.0,708.0,2675.0,-2780.0,Cash Flow
Unusual Items,,,,,,,26950.0,4.0,737.0,790.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,944.0,358.0,913.0,931.0,Cash Flow
Other Non-Cash Items,,,,,,,12229.0,6758.0,-2814.0,5246.0,Cash Flow
Non-Cash Items,,,,,,,40123.0,7120.0,-1164.0,6967.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,60366.0,6699.0,29921.0,61551.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,41159.0,1613.0,22221.0,23678.0,Cash Flow
Accounts Receivable,,,,,,,-90854.0,-56129.0,-113345.0,-137337.0,Cash Flow
Inventories,,,,,,,-289942.0,-68236.0,-56625.0,-31143.0,Cash Flow
Prepaid Expenses,,,,,,,-36066.0,-4452.0,5369.0,6738.0,Cash Flow
Accounts Payable,,,,,,,89418.0,49006.0,39875.0,37787.0,Cash Flow
Accrued Expenses,,,,,,,30556.0,-34186.0,-16034.0,10904.0,Cash Flow
Changes in Working Capital,,,,,,,-264558.0,-91915.0,-121617.0,-106307.0,Cash Flow
