,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,50.99,54.78,24.0,,,,,
low,29.05,12.72,5.45,,,,,
change,0.46240000000000003,-0.6393,0.46380000000000005,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,368.0,,,,Balance Sheet
Cash & Equivalents,,,,,49.0,51.0,63.0,Balance Sheet
Cash and Short Term Invs,,,,368.0,49.0,51.0,63.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,256.0,347.0,349.0,Balance Sheet
Prov. for Doubtful Accts,,,,,0.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,236.0,391.0,458.0,485.0,Balance Sheet
Other Receivables,,,,9.0,31.0,16.0,13.0,Balance Sheet
"Total Receivables, Net",,,,245.0,422.0,474.0,498.0,Balance Sheet
Invent. - Finished Goods,,,,128.0,151.0,142.0,109.0,Balance Sheet
Invent. - Raw Materials,,,,85.0,156.0,196.0,166.0,Balance Sheet
Inventories - Other,,,,-7.0,-8.0,-8.0,-5.0,Balance Sheet
Total Inventory,,,,206.0,299.0,330.0,270.0,Balance Sheet
Prepaid Expenses,,,,34.0,46.0,53.0,41.0,Balance Sheet
Total Current Assets,,,,852.0,817.0,908.0,872.0,Balance Sheet
Buildings,,,,2.0,4.0,6.0,7.0,Balance Sheet
Land/Improvements,,,,1.0,2.0,2.0,2.0,Balance Sheet
Machinery/Equipment,,,,18.0,23.0,21.0,25.0,Balance Sheet
Other Prop./Plant/Equip.,,,,12.0,1.0,1.0,3.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,33.0,29.0,30.0,37.0,Balance Sheet
Accumulated Depreciation,,,,-11.0,-12.0,-13.0,-17.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,22.0,17.0,18.0,20.0,Balance Sheet
"Goodwill, Net",,,,70.0,380.0,379.0,360.0,Balance Sheet
Intangibles - Gross,,,,308.0,622.0,597.0,578.0,Balance Sheet
Accum. Intangible Amort.,,,,-133.0,-151.0,-175.0,-194.0,Balance Sheet
Intangibles - Net,,,,175.0,471.0,422.0,384.0,Balance Sheet
Long Term Investments,,,,,,12.0,12.0,Balance Sheet
Other Long Term Assets,,,,15.0,31.0,19.0,16.0,Balance Sheet
Total Assets,,,,1143.0,1716.0,1775.0,1682.0,Balance Sheet
Accounts Payable,,,,92.0,188.0,232.0,200.0,Balance Sheet
Accrued Expenses,,,,48.0,58.0,54.0,100.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,4.0,48.0,51.0,48.0,Balance Sheet
Customer Advances,,,,100.0,122.0,168.0,155.0,Balance Sheet
Income Taxes Payable,,,,0.0,6.0,3.0,11.0,Balance Sheet
Other Current Liabilities,,,,2.0,11.0,7.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,101.0,139.0,178.0,165.0,Balance Sheet
Total Current Liabilities,,,,245.0,433.0,515.0,513.0,Balance Sheet
Total Long Term Debt,,,,711.0,778.0,794.0,725.0,Balance Sheet
Total Debt,,,,715.0,826.0,845.0,773.0,Balance Sheet
Deferred Income Tax,,,,0.0,93.0,85.0,74.0,Balance Sheet
"Other Liabilities, Total",,,,18.0,21.0,21.0,20.0,Balance Sheet
Total Liabilities,,,,975.0,1326.0,1415.0,1332.0,Balance Sheet
Redeemable Preferred Stock,,,,350.0,282.0,294.0,288.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,-113.0,,,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,203.0,411.0,402.0,393.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-272.0,-294.0,-297.0,-258.0,Balance Sheet
"Other Equity, Total",,,,,-9.0,-39.0,-73.0,Balance Sheet
Total Equity,,,,168.0,390.0,360.0,349.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1143.0,1716.0,1775.0,1682.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,135.0,150.0,150.0,150.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,220.0,301.0,425.0,515.0,Income Statement
"Cost of Revenue, Total",,,,210.0,274.0,378.0,435.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,23.0,40.0,26.0,39.0,Income Statement
Depreciation,,,,6.0,0.0,0.0,0.0,Income Statement
Amortiz of Intangibles,,,,,23.0,24.0,23.0,Income Statement
Depreciation/Amortization,,,,6.0,23.0,24.0,23.0,Income Statement
Litigation,,,,,,,-43.0,Income Statement
Other Unusual Expnse (In),,,,2.0,-4.0,4.0,-1.0,Income Statement
Unusual Expense (Income),,,,2.0,-4.0,4.0,-43.0,Income Statement
Total Operating Expense,,,,240.0,333.0,432.0,454.0,Income Statement
Total Operating Income,,,,-20.0,-32.0,-7.0,61.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-7.0,-7.0,-8.0,-9.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,4.0,-2.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,1.0,0.0,0.0,Income Statement
"Other, Net",,,,0.0,1.0,0.0,0.0,Income Statement
Income Before Tax,,,,-27.0,-34.0,-17.0,52.0,Income Statement
Income Tax - Total,,,,-5.0,-12.0,-14.0,11.0,Income Statement
Income After Tax,,,,-22.0,-22.0,-3.0,41.0,Income Statement
Net Inc Before Extra Items,,,,-22.0,-22.0,-3.0,41.0,Income Statement
Total Net Income,,,,-22.0,-22.0,-3.0,41.0,Income Statement
Total Adjust to Net Income,,,,-10.0,-12.0,-12.0,-12.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-32.0,-34.0,-15.0,29.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-32.0,-34.0,-15.0,29.0,Income Statement
Basic/Primary Weighted Average Shares,,,,134.0,148.0,150.0,150.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.24,-0.23,-0.1,0.19,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.24,-0.23,-0.1,0.19,Income Statement
Diluted Weighted Average Shares,,,,134.0,148.0,150.0,151.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.24,-0.23,-0.1,0.19,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.24,-0.23,-0.1,0.19,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,7.0,7.0,8.0,9.0,Income Statement
"Depreciat/Amort, Suppl",,,,6.0,1.0,1.0,1.0,Income Statement
Total Special Items,,,,2.0,-4.0,4.0,-43.0,Income Statement
Normalzd Income Before Tax,,,,-26.0,-38.0,-13.0,9.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1.0,-1.0,1.0,-9.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-5.0,-14.0,-13.0,2.0,Income Statement
Normalized Income After Tax,,,,-21.0,-24.0,0.0,7.0,Income Statement
Normalzd Inc Avail to Common,,,,-31.0,-36.0,-12.0,-5.0,Income Statement
Basic Normalized EPS,,,,-0.23,-0.24,-0.08,-0.04,Income Statement
Diluted Normalized EPS,,,,-0.23,-0.24,-0.08,-0.04,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-50.0,-22.0,-25.0,14.0,Cash Flow
Depreciation/Depletion,,,,26.0,23.0,48.0,71.0,Cash Flow
Deferred Taxes,,,,-10.0,7.0,-20.0,-31.0,Cash Flow
Non-Cash Items,,,,33.0,4.0,7.0,13.0,Cash Flow
Accounts Receivable,,,,-109.0,-66.0,-119.0,-143.0,Cash Flow
Inventories,,,,-88.0,-46.0,-77.0,-14.0,Cash Flow
Prepaid Expenses,,,,-21.0,6.0,0.0,11.0,Cash Flow
Accounts Payable,,,,7.0,59.0,75.0,42.0,Cash Flow
Accrued Expenses,,,,9.0,13.0,8.0,43.0,Cash Flow
