,ARRY
% Below High,0.0308
% Held by Institutions,1.0351000000000001
52-Wk Range,['5.45 - 24.00']
Annual Dividend $,
Annual Dividend %,
Ask,23.4
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,23.26
Bid Size,1000.0
Closing Price,23.26
Day Change $,0.39
Day Change %,0.0171
Day High,23.5
Day Low,22.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,0.965
Last (size),43.0
Last (time),1:00p ET 11/25/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.87
Short Interest,0.1128
Today's Open,22.84
Volume,1981436.0
Volume 10-day Avg,4666978.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.90625
Growth 2yr High Est,2.1904761904761907
Growth 2yr Consensus Est,1.5483630952380953
Growth 5yr Low Est,0.90625
Growth 5yr High Est,2.1904761904761907
Growth 5yr Consensus Est,1.5483630952380953
Growth 5yr Actual/Est,1.665301245946407
Growth 3yr Historic,-0.3082437275985663
Price/Earnings (TTM),
Price/Sales (TTM),2.4052
Price/Book (MRQ),56.56656
Price/Cash Flow (TTM),149.0805
5yr Low,5.45
5yr High,54.78
5yr Avg Return,0.09563333333333335
Short Int Current Month,16753992.0
Short Int Prev Month,19202886.0
Short Int Pct of Float,0.1128169
Days to Cover,3.19932
Float,148.5284
Shares Outstanding,150.4905
Institutions Holding Shares,330.0
FCF Growth 5yr,-0.7079140158087527
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1079
Operating Profit Margin (TTM),-0.0019
Net Profit Margin (TTM),-0.005699999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.6617
EPS Growth (TTM),0.057999999999999996
Revenue Growth (MRQ),0.2266
Revenue Growth (TTM),0.7879
Return On Equity (TTM),-1.7269
Return On Assets (TTM),-0.0068000000000000005
Return On Investment (TTM),-0.0097
Revenue Per Employee (TTM),3089917.0
Total Debt/Total Capital (MRQ),0.6887000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),2.02
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-04-06 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
theStreet since,2022-04-06 00:00:00
newConstructs since,
marketEdge opinion since,
