,GIS
Price/Earnings (TTM),17.45025
Price/Sales (TTM),2.56882
Price/Book (MRQ),4.66288
Price/Cash Flow (TTM),14.58482
5yr Low,36.42
5yr High,82.97
5yr Avg Return,0.10168333333333335
EPS Growth 5yr,0.09779529999999999
Revenue Growth 5yr,0.0398788
Dividend Growth 5yr,0.0121987
Short Int Current Month,15006207.0
Short Int Prev Month,13322273.0
Short Int Pct of Float,0.0253477
Days to Cover,3.45512
Float,592.4813
Shares Outstanding,593.5356
Institutions Holding Shares,1988.0
% Held by Institutions,0.7563030000000001
FCF Growth 5yr,0.015099992086351119
