,GNK
% Above Low,0.2458
% Held by Institutions,0.6139
52-Wk Range,['11.92 - 27.15']
Annual Dividend $,3.12
Annual Dividend %,0.2101
Ask,15.16
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,14.0
Bid Size,200.0
Closing Price,14.85
Day Change $,0.29
Day Change %,0.0199
Day High,15.2
Day Low,14.65
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",5.15
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.554
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,628.6M
"P/E Ratio (TTM, GAAP)",2.88
Prev Close,14.56
Short Interest,0.0451
Today's Open,14.65
Volume,573889.0
Volume 10-day Avg,1363097.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.09677419354838712
Growth 1yr High Est,-0.13347921225382942
Growth 1yr Consensus Est,-0.11512670290110827
Growth 2yr Low Est,-0.2612991846862815
Growth 2yr High Est,-0.0010830404703489616
Growth 2yr Consensus Est,-0.13119111257831523
Growth 5yr Low Est,-0.2612991846862815
Growth 5yr High Est,-0.0010830404703489616
Growth 5yr Consensus Est,-0.13119111257831523
Growth 5yr Actual/Est,-3.4769263030836197
Growth 3yr Historic,-3.399894957983194
Price/Earnings (TTM),2.88139
Price/Sales (TTM),1.05954
Price/Book (MRQ),0.64681
Price/Cash Flow (TTM),2.24154
5yr Low,4.27
5yr High,27.15
5yr Avg Return,0.1447
EPS Growth 5yr,
Revenue Growth 5yr,0.32182810000000006
Dividend Growth 5yr,
Short Int Current Month,1791762.0
Short Int Prev Month,2130254.0
Short Int Pct of Float,0.0450915
Days to Cover,1.39377
Float,39.75903
Shares Outstanding,42.32718
Institutions Holding Shares,218.0
FCF Growth 5yr,2.6108848914861014
"Price/Earnings (TTM, GAAP)",2.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5252
Operating Profit Margin (TTM),0.3871
Net Profit Margin (TTM),0.37329999999999997
Annual Dividend Yield,0.2101
Dividend Change %,0.3617
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.136
EPS Growth (TTM),7.997000000000001
Revenue Growth (MRQ),-0.013000000000000001
Revenue Growth (TTM),0.2915
Return On Equity (TTM),0.24489999999999998
Return On Assets (TTM),0.1859
Return On Investment (TTM),0.19390000000000002
Revenue Per Employee (TTM),599231.0
Total Debt/Total Capital (MRQ),0.1512
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),2.05
Interest Coverage (MRQ),22.77
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-02-03 00:00:00
researchTeam since,2022-08-12 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
