,HTBK
% Below High,0.0262
% Held by Institutions,0.7254
52-Wk Range,['10.42 - 14.87']
Annual Dividend $,0.52
Annual Dividend %,0.0359
Ask,23.15
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,14.42
Bid Size,200.0
Closing Price,14.48
Day Change $,0.11
Day Change %,0.0077
Day High,14.51
Day Low,14.36
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.273
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,879.2M
"P/E Ratio (TTM, GAAP)",14.78
Prev Close,14.37
Short Interest,0.011899999999999999
Today's Open,14.41
Volume,70305.0
Volume 10-day Avg,192705.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.44594594594594605
Growth 1yr High Est,0.42307692307692313
Growth 1yr Consensus Est,0.4345114345114346
Growth 2yr Low Est,0.3304496084869917
Growth 2yr High Est,0.3782051282051282
Growth 2yr Consensus Est,0.35432736834605993
Growth 5yr Low Est,0.3274425961341849
Growth 5yr High Est,0.34503292700014015
Growth 5yr Consensus Est,0.3362377615671625
Growth 5yr Actual/Est,0.17867220508070603
Growth 3yr Historic,0.01034100080710254
Price/Earnings (TTM),14.78471
Price/Sales (TTM),4.98422
Price/Book (MRQ),1.44242
Price/Cash Flow (TTM),13.82799
5yr Low,6.04
5yr High,18.1
5yr Avg Return,0.015566666666666673
EPS Growth 5yr,0.0180758
Revenue Growth 5yr,0.10169299999999999
Dividend Growth 5yr,0.0763169
Short Int Current Month,694575.0
Short Int Prev Month,793520.0
Short Int Pct of Float,0.011915
Days to Cover,3.25451
Float,58.36154
Shares Outstanding,60.71899
Institutions Holding Shares,198.0
FCF Growth 5yr,0.14768066470852848
"Price/Earnings (TTM, GAAP)",14.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4773
Net Profit Margin (TTM),0.3386
Annual Dividend Yield,0.0359
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.057300000000000004
EPS Growth (MRQ),0.2161
EPS Growth (TTM),0.30710000000000004
Revenue Growth (MRQ),0.1519
Revenue Growth (TTM),0.1616
Return On Equity (TTM),0.09960000000000001
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-12-03 00:00:00
researchTeam since,2022-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
