,ABCB
% Below High,0.0424
% Held by Institutions,0.8898999999999999
52-Wk Range,['38.22 - 55.62']
Annual Dividend $,0.6
Annual Dividend %,0.0113
Ask,85.07
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,21.32
Bid Size,100.0
Closing Price,53.26
Day Change $,0.59
Day Change %,0.011200000000000002
Day High,53.53
Day Low,52.54
Dividend Pay Date,2022-10-10 00:00:00
"EPS (TTM, GAAP)",4.98
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.326
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.69
Prev Close,52.67
Short Interest,0.0225
Today's Open,52.92
Volume,57610.0
Volume 10-day Avg,272074.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.03571428571428581
Growth 1yr High Est,-0.06000000000000005
Growth 1yr Consensus Est,-0.04785714285714293
Growth 2yr Low Est,-0.006161236424394367
Growth 2yr High Est,0.0173887814313346
Growth 2yr Consensus Est,0.005613772503470116
Growth 5yr Low Est,0.09691938178780285
Growth 5yr High Est,0.11770222361383964
Growth 5yr Consensus Est,0.10731080270082125
Growth 5yr Actual/Est,0.1059034790319921
Growth 3yr Historic,0.10582706766917299
Price/Earnings (TTM),10.68965
Price/Sales (TTM),3.47944
Price/Book (MRQ),1.18424
Price/Cash Flow (TTM),9.64773
5yr Low,17.12
5yr High,59.85
5yr Avg Return,0.04044999999999999
EPS Growth 5yr,0.2106248
Revenue Growth 5yr,0.24079979999999998
Dividend Growth 5yr,0.1913579
Short Int Current Month,1470669.0
Short Int Prev Month,1476609.0
Short Int Pct of Float,0.0224702
Days to Cover,4.22367
Float,65.65025
Shares Outstanding,69.35171
Institutions Holding Shares,342.0
FCF Growth 5yr,-7.258922982249525
"Price/Earnings (TTM, GAAP)",10.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.42960000000000004
Net Profit Margin (TTM),0.3262
Annual Dividend Yield,0.0113
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),0.0275
EPS Growth (TTM),-0.10640000000000001
Revenue Growth (MRQ),0.1567
Revenue Growth (TTM),0.1351
Return On Equity (TTM),0.115
Return On Assets (TTM),0.0149
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-11 00:00:00
