,TELL
% Above Low,0.6364
% Held by Institutions,0.3856
52-Wk Range,['1.54 - 6.54']
Annual Dividend $,
Annual Dividend %,
Ask,2.53
Ask Size,200.0
Ask close,4.2
B/A Ratio,188.0
B/A Size,37600x200
Beta,2.2
Bid,2.51
Bid Size,37600.0
Bid close,4.15
Change Since Close,0.01| |(0.40%)
Closing Price,2.52
Day Change $,-0.1
Day Change %,-0.0382
Day High,2.6
Day Low,2.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.966
Last (size),14.0
Last (time),4:10p ET 11/28/22
Last Trade,2.53
Market Cap,1.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.62
Short Interest,0.1882
Today's Open,2.56
Volume,7789256.0
Volume 10-day Avg,9117724.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1499999999999999
Growth 2yr High Est,1.928571428571428
Growth 2yr Consensus Est,1.039285714285714
Growth 5yr Low Est,0.1499999999999999
Growth 5yr High Est,1.928571428571428
Growth 5yr Consensus Est,1.039285714285714
Growth 5yr Actual/Est,-0.5537319495767486
Growth 3yr Historic,-0.12516052100532007
Price/Earnings (TTM),
Price/Sales (TTM),4.75873
Price/Book (MRQ),2.31044
Price/Cash Flow (TTM),
5yr Low,0.6664
5yr High,13.74
5yr Avg Return,-0.014600000000000009
Short Int Current Month,91344374.0
Short Int Prev Month,94356814.0
Short Int Pct of Float,0.1882263
Days to Cover,7.28595
Float,485.5755
Shares Outstanding,564.8176
Institutions Holding Shares,289.0
FCF Growth 5yr,0.6440661019067532
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.499
Operating Profit Margin (TTM),-0.2527
Net Profit Margin (TTM),-0.3926
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-376.5714
EPS Growth (TTM),-0.0966
Revenue Growth (MRQ),0.322
Revenue Growth (TTM),4.332
Return On Equity (TTM),-0.2443
Return On Assets (TTM),-0.1276
Return On Investment (TTM),-0.1606
Revenue Per Employee (TTM),2906262.0
Total Debt/Total Capital (MRQ),0.4815
Change in Debt/Total Capital Quarter over Quarter,0.03
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.78
newConstructs,rating-box
theStreet,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs since,2022-11-28 00:00:00
theStreet since,2019-04-30 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
