,LOVE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.43,7.14,Valuation,1.3207282913165266
Price/Sales (TTM),0.67,7.33,Valuation,0.09140518417462483
Price/Book (MRQ),2.37,2.07,Valuation,1.1449275362318843
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.5336,0.3091,Profitability,1.7263021675833063
Operating Profit Margin (TTM),0.0672,0.1507,Profitability,0.4459190444591904
Net Profit Margin (TTM),0.0752,0.11320000000000001,Profitability,0.6643109540636042
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),2.798,-0.0688,Gowth rates,-40.66860465116279
EPS Growth (TTM),0.35259999999999997,0.16670000000000001,Gowth rates,2.115176964607078
Revenue Growth (MRQ),0.14800000000000002,0.1173,Gowth rates,1.2617220801364026
Revenue Growth (TTM),0.5157,0.149,Gowth rates,3.461073825503356
Return On Equity (TTM),0.3139,0.38439999999999996,Effectiveness,0.8165972944849117
Return On Assets (TTM),0.1356,0.135,Effectiveness,1.0044444444444445
Return On Investment (TTM),0.1864,0.1699,Effectiveness,1.0971159505591526
Revenue Per Employee (TTM),973295.0,1633986.0,Effectiveness,0.5956568783331069
Total Debt/Total Capital (MRQ),0.0,0.29309999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,-0.0005,Financial strength,20.0
Quick Ratio (MRQ),0.64,0.53,Financial strength,1.2075471698113207
Interest Coverage (MRQ),,51.09,Financial strength,
