,LOVE
% Above Low,0.33520000000000005
% Held by Institutions,0.9362
52-Wk Range,['19.42 - 85.13']
Annual Dividend $,
Annual Dividend %,
Ask,29.97
Ask Size,100.0
Ask close,31.82
B/A Ratio,1.0
B/A Size,100x100
Beta,2.4
Bid,23.52
Bid Size,100.0
Bid close,19.83
Change Since Close,-0.77| |(-2.97%)
Closing Price,25.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.75
Ex-dividend Date,No dividend
Historical Volatility,0.8059999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,25.16
Market Cap,393.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.43
Prev Close,25.93
Short Interest,0.1149
Today's Open,
Volume,1.0
Volume 10-day Avg,261063.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-2.9459459459459456
Growth 1yr High Est,-4.75
Growth 1yr Consensus Est,-3.847972972972973
Growth 2yr Low Est,-1.3641766766766765
Growth 2yr High Est,-1.8736666666666666
Growth 2yr Consensus Est,-1.6189216716716714
Growth 5yr Low Est,-0.6820883383383383
Growth 5yr High Est,-0.9368333333333333
Growth 5yr Consensus Est,-0.8094608358358357
Growth 5yr Actual/Est,0.14229090655721094
Growth 3yr Historic,0.014022435897435903
Price/Earnings (TTM),9.42889
Price/Sales (TTM),0.66645
Price/Book (MRQ),2.37183
Price/Cash Flow (TTM),7.2936
5yr Low,4.0
5yr High,95.51
5yr Avg Return,0.23691999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.45523519999999995
Dividend Growth 5yr,
Short Int Current Month,1546372.0
Short Int Prev Month,1709552.0
Short Int Pct of Float,0.11485989999999999
Days to Cover,5.6738
Float,13.46566
Shares Outstanding,15.18436
Institutions Holding Shares,172.0
FCF Growth 5yr,-0.8695995626776999
"Price/Earnings (TTM, GAAP)",9.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5336
Operating Profit Margin (TTM),0.0672
Net Profit Margin (TTM),0.0752
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.798
EPS Growth (TTM),0.35259999999999997
Revenue Growth (MRQ),0.14800000000000002
Revenue Growth (TTM),0.5157
Return On Equity (TTM),0.3139
Return On Assets (TTM),0.1356
Return On Investment (TTM),0.1864
Revenue Per Employee (TTM),973295.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-11-29 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
