,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,28.88,46.79,46.26,95.51,69.62,,,,,
low,16.46,10.33,4.0,38.91,19.42,,,,,
change,-0.0824,-0.2895,1.6517,0.5142,-0.6093999999999999,,,,,
Date,,,,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,47862.0,92392.0,64380.0,17652.0,Balance Sheet
"Total Receivables, Net",,,,,,9794.0,8547.0,6413.0,8970.0,Balance Sheet
Total Inventory,,,,,,94544.0,108493.0,123008.0,146626.0,Balance Sheet
Prepaid Expenses,,,,,,11421.0,15726.0,16384.0,36011.0,Balance Sheet
Total Current Assets,,,,,,163621.0,225158.0,210185.0,209259.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,127700.0,135028.0,145385.0,155872.0,Balance Sheet
"Goodwill, Net",,,,,,144.0,144.0,144.0,144.0,Balance Sheet
Intangibles - Gross,,,,,,4922.0,4228.0,5193.0,5268.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-3577.0,-2815.0,-3741.0,-3843.0,Balance Sheet
Intangibles - Net,,,,,,1345.0,1413.0,1452.0,1425.0,Balance Sheet
Deferred Charges,,,,,,23.0,0.0,97.0,116.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,9836.0,9313.0,7098.0,Balance Sheet
Total Assets,,,,,,292833.0,371579.0,366576.0,373914.0,Balance Sheet
Accounts Payable,,,,,,25430.0,33247.0,29764.0,34238.0,Balance Sheet
Accrued Expenses,,,,,,49444.0,72216.0,66488.0,57333.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,6704.0,13316.0,7607.0,6488.0,Balance Sheet
Total Current Liabilities,,,,,,81578.0,118779.0,103859.0,98059.0,Balance Sheet
