,VRRM
% Below High,0.1362
% Held by Institutions,1.0675
52-Wk Range,['12.70 - 18.13']
Annual Dividend $,
Annual Dividend %,
Ask,15.66
Ask Size,3000.0
B/A Ratio,0.4
B/A Size,1200x3000
Beta,1.2
Bid,15.65
Bid Size,1200.0
Closing Price,15.66
Day Change $,-0.2
Day Change %,-0.0126
Day High,15.83
Day Low,15.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,0.401
Last (size),7.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",30.43
Prev Close,15.86
Short Interest,0.0768
Today's Open,15.64
Volume,1052606.0
Volume 10-day Avg,1501396.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-20.4
Growth 1yr High Est,49.0
Growth 1yr Consensus Est,14.3
Growth 2yr Low Est,-10.184536082474226
Growth 2yr High Est,24.57
Growth 2yr Consensus Est,7.192731958762887
Growth 5yr Low Est,-6.789690721649484
Growth 5yr High Est,16.38
Growth 5yr Consensus Est,4.795154639175258
Growth 5yr Actual/Est,-9.674198549198548
Growth 3yr Historic,-9.773809523809524
Price/Earnings (TTM),30.42861
Price/Sales (TTM),3.27636
Price/Book (MRQ),12.17028
Price/Cash Flow (TTM),10.74388
5yr Low,5.63
5yr High,18.13
5yr Avg Return,0.0876
Short Int Current Month,11379124.0
Short Int Prev Month,9997120.0
Short Int Pct of Float,0.0767671
Days to Cover,4.02105
Float,148.4034
Shares Outstanding,149.8757
Institutions Holding Shares,283.0
FCF Growth 5yr,0.7917815853971062
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",30.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9266
Operating Profit Margin (TTM),0.22390000000000002
Net Profit Margin (TTM),0.11480000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1602
EPS Growth (TTM),3.4002999999999997
Revenue Growth (MRQ),0.0542
Revenue Growth (TTM),0.509
Return On Equity (TTM),0.38
Return On Assets (TTM),0.0521
Return On Investment (TTM),0.057
Revenue Per Employee (TTM),555519.0
Total Debt/Total Capital (MRQ),0.8616
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.86
Interest Coverage (MRQ),2.25
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-01-21 00:00:00
theStreet since,2022-08-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
