,IMXI
% Above Low,0.4267
% Held by Institutions,0.8184999999999999
52-Wk Range,['14.74 - 27.81']
Annual Dividend $,
Annual Dividend %,
Ask,27.9
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.6
Bid,19.51
Bid Size,900.0
Closing Price,21.03
Day Change $,-0.33
Day Change %,-0.0154
Day High,21.78
Day Low,21.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.47
Ex-dividend Date,No dividend
Historical Volatility,0.394
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,779.4M
"P/E Ratio (TTM, GAAP)",14.27
Prev Close,21.36
Short Interest,0.0184
Today's Open,21.39
Volume,131195.0
Volume 10-day Avg,497293.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3999999999999999
Growth 1yr High Est,0.3947368421052633
Growth 1yr Consensus Est,0.3973684210526316
Growth 2yr Low Est,0.28116883116883107
Growth 2yr High Est,0.3231545845746442
Growth 2yr Consensus Est,0.30216170787173763
Growth 5yr Low Est,0.4121204820089096
Growth 5yr High Est,0.38388173203362225
Growth 5yr Consensus Est,0.3980011070212659
Growth 5yr Actual/Est,0.3934731934731934
Growth 3yr Historic,0.26398601398601396
Price/Earnings (TTM),14.2734
Price/Sales (TTM),1.50021
Price/Book (MRQ),5.37449
Price/Cash Flow (TTM),11.71043
5yr Low,6.46
5yr High,27.81
5yr Avg Return,0.14176666666666668
Short Int Current Month,601071.0
Short Int Prev Month,811219.0
Short Int Pct of Float,0.0183727
Days to Cover,0.88321
Float,32.7021
Shares Outstanding,37.06244
Institutions Holding Shares,242.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",14.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.15410000000000001
Net Profit Margin (TTM),0.11050000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.061900000000000004
EPS Growth (TTM),0.326
Revenue Growth (MRQ),0.027999999999999997
Revenue Growth (TTM),0.2045
Return On Equity (TTM),0.4139
Return On Assets (TTM),0.16010000000000002
Return On Investment (TTM),0.2395
Revenue Per Employee (TTM),770835.0
Total Debt/Total Capital (MRQ),0.4593
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),14.36
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-06-22 00:00:00
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
